,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
NWS AU Equity,2022-05-11,BUY,新闻集团,56755,0,0,25.4,1.4416,1000000,0,0,Quant,Pattern 87,AU
SHL AU Equity,2022-05-11,BUY,Sonic 医疗保健有限公司,41449,0,0,34.78,1.4416,1000000,0,0,Quant,Pattern 87,AU
SOL AU Equity,2022-05-11,BUY,Washington H Soul Pattinson,53891,0,0,26.75,1.4416,1000000,0,0,Quant,Pattern 87,AU
TAH AU Equity,2022-05-11,BUY,泰博控股有限公司,287171,0,0,5.02,1.4416,1000000,0,0,Quant,Pattern 87,AU
002027 CH Equity,2022-05-11,SELL,分众传媒,-586695,0,0,5.75,6.747,500000,0,0,Quant,Pattern 87,CN-300
002032 CH Equity,2022-05-11,BUY,苏泊尔,62069,0,0,54.35,6.747,500000,0,0,Quant,Pattern 87,CN-300
300024 CH Equity,2022-05-11,BUY,机器人,433055,0,0,7.79,6.747,500000,0,0,Quant,Pattern 87,CN-300
600332 CH Equity,2022-05-11,BUY,白云山,113015,0,0,29.85,6.747,500000,0,0,Quant,Pattern 87,CN-300
600547 CH Equity,2022-05-11,BUY,山东黄金,184748,0,0,18.26,6.747,500000,0,0,Quant,Pattern 87,CN-300
600926 CH Equity,2022-05-11,BUY,杭州银行,228093,0,0,14.79,6.747,500000,0,0,Quant,Pattern 87,CN-300
CLW AU Equity,2022-05-11,BUY,Charter Hall Long Wale REIT,299087,0,0,4.82,1.4416,1000000,0,0,Quant,Pattern 87,AU
DMP AU Equity,2022-05-11,SELL,达美乐比萨企业有限公司,-20582,0,0,70.04,1.4416,1000000,0,0,Quant,Pattern 87,AU
DOW AU Equity,2022-05-11,BUY,Downer EDI 有限公司,262109,0,0,5.5,1.4416,1000000,0,0,Quant,Pattern 87,AU
ELD AU Equity,2022-05-11,BUY,艾德士有限公司,102096,0,0,14.12,1.4416,1000000,0,0,Quant,Pattern 87,AU
GOZ AU Equity,2022-05-11,SELL,Growthpoint 地产澳大利亚公司,-383404,0,0,3.76,1.4416,1000000,0,0,Quant,Pattern 87,AU
GUD AU Equity,2022-05-11,BUY,GUD 控股有限公司,122898,0,0,11.73,1.4416,1000000,0,0,Quant,Pattern 87,AU
INA AU Equity,2022-05-11,SELL,Ingenia老年社区集团,-367755,0,0,3.92,1.4416,1000000,0,0,Quant,Pattern 87,AU
