,4437
1227 TT Equity,1.0
1326 TT Equity,-1.0
2207 TT Equity,1.0
2317 TT Equity,1.0
2324 TT Equity,-1.0
2354 TT Equity,1.0
3045 TT Equity,-1.0
6239 TT Equity,-1.0
6415 TT Equity,1.0
6505 TT Equity,1.0
9921 TT Equity,-1.0
