,4526
101 HK Equity,-1.0
1038 HK Equity,1.0
1375 HK Equity,1.0
179 HK Equity,1.0
1812 HK Equity,-1.0
1988 HK Equity,1.0
2016 HK Equity,-1.0
220 HK Equity,1.0
2388 HK Equity,-1.0
241 HK Equity,-1.0
267 HK Equity,-1.0
317 HK Equity,-1.0
3320 HK Equity,1.0
3369 HK Equity,1.0
3380 HK Equity,-1.0
3633 HK Equity,-1.0
410 HK Equity,1.0
512 HK Equity,1.0
551 HK Equity,-1.0
6060 HK Equity,-1.0
6169 HK Equity,1.0
780 HK Equity,1.0
857 HK Equity,-1.0
873 HK Equity,-2.0
874 HK Equity,-1.0
916 HK Equity,1.0
995 HK Equity,-1.0
