,4528
003230 KS Equity,-1.0
004000 KS Equity,1.0
004370 KS Equity,-1.0
006120 KS Equity,1.0
007070 KS Equity,1.0
007700 KS Equity,1.0
009150 KS Equity,2.0
009830 KS Equity,-1.0
011200 KS Equity,-1.0
011790 KS Equity,1.0
012630 KS Equity,-1.0
012750 KS Equity,1.0
013890 KS Equity,-1.0
017800 KS Equity,1.0
018880 KS Equity,1.0
031430 KS Equity,-1.0
032830 KS Equity,-1.0
033780 KS Equity,-1.0
051900 KS Equity,-2.0
103140 KS Equity,-1.0
105560 KS Equity,1.0
161390 KS Equity,-1.0
180640 KS Equity,-1.0
241590 KS Equity,-1.0
