cal_sig_date,sig,r_get_close,index_code
2022-03-03,1,-0.00964283158724013,000300
2022-03-04,1,-0.012127,000300
2022-03-07,1,-0.031948,000300
2022-03-08,1,-0.020076,000300
2022-03-03,1,-0.002282,000905
2022-03-04,1,-0.008123,000905
2022-03-07,1,-0.02123,000905
2022-03-08,0,-0.034463,000905
2022-03-02,0,0,RTY
2022-03-03,0,0,RTY
2022-03-04,0,0,RTY
2022-03-07,0,0,RTY
2022-03-02,1,0.018643,SPX
2022-03-03,1,-0.005255,SPX
2022-03-04,1,-0.007934,SPX
2022-03-07,1,-0.029518,SPX
2022-03-03,0,0,as51
2022-03-04,0,0,as51
2022-03-07,0,0,as51
2022-03-08,0,0,as51
2022-03-03,0,0,hsce
2022-03-04,0,0,hsce
2022-03-07,0,0,hsce
2022-03-08,0,0,hsce
2022-03-03,1,0,kosdaq
2022-03-04,1,-0.0085666461192995,kosdaq
2022-03-07,1,-0.0215547860060381,kosdaq
2022-03-08,1,-0.0129319146039885,kosdaq
2022-03-03,1,0.0179428159405419,kospi
2022-03-04,1,-0.0146297608020487,kospi
2022-03-07,1,-0.0239431557411043,kospi
2022-03-08,1,-0.010339064668725,kospi
2022-03-03,0,0.00174499230462297,msci
2022-03-04,0,0,msci
2022-03-07,0,0,msci
2022-03-08,0,0,msci
2022-03-02,-1,-0.0169712980151364,ndx
2022-03-03,0,0.0146380505065398,ndx
2022-03-04,0,0.00542895576835388,ndx
2022-03-07,0,0,ndx
2022-03-02,1,-0.000228595018410992,nifty
2022-03-03,1,-0.00649166862380257,nifty
2022-03-04,1,-0.0153229765851824,nifty
2022-03-07,1,-0.0235206490492634,nifty
2022-03-03,1,0.00698291213579361,nky
2022-03-04,1,-0.0222671226949314,nky
2022-03-07,1,-0.029404860402917,nky
2022-03-08,1,-0.0170688383674181,nky
2022-02-23,-1,-0.00900195306690987,set50
2022-02-24,-1,0.0126651928273152,set50
2022-02-25,-1,-0.00762295245108757,set50
2022-02-28,-1,-0.0049678031051239,set50
2022-03-02,0,0,sx5e
2022-03-03,0,0,sx5e
2022-03-04,0,0,sx5e
2022-03-07,0,0,sx5e
2022-03-03,0,0,topix
2022-03-04,0,0,topix
2022-03-07,0,0,topix
2022-03-08,0,0,topix
2022-03-03,0,0,twse
2022-03-04,0,0,twse
2022-03-07,0,0,twse
2022-03-08,0,0,twse
2022-03-02,0,0.0135548825407221,ukx
2022-03-03,0,-0.0001,ukx
2022-03-04,0,0,ukx
2022-03-07,0,0,ukx
2022-03-03,0,0,xin9i
2022-03-04,0,0,xin9i
2022-03-07,0,0,xin9i
2022-03-08,0,0,xin9i
