,3136
ABC AU Equity,-1.0
AMC AU Equity,-1.0
APA AU Equity,-1.0
APX AU Equity,1.0
ASX AU Equity,-1.0
BKL AU Equity,-1.0
CQR AU Equity,1.0
CWN AU Equity,1.0
DHG AU Equity,1.0
IAG AU Equity,2.0
LLC AU Equity,-1.0
LNK AU Equity,1.0
NAN AU Equity,-1.0
NEC AU Equity,1.0
NST AU Equity,1.0
NUF AU Equity,1.0
OBL AU Equity,-1.0
PME AU Equity,-1.0
QAN AU Equity,-1.0
QUB AU Equity,1.0
RWC AU Equity,1.0
SBM AU Equity,1.0
SLR AU Equity,1.0
SSM AU Equity,-1.0
SYD AU Equity,-1.0
WES AU Equity,-1.0
WOR AU Equity,-1.0
XRO AU Equity,1.0
