,4502
1038 HK Equity,-1.0
1060 HK Equity,1.0
16 HK Equity,-1.0
1882 HK Equity,1.0
1963 HK Equity,1.0
1995 HK Equity,-2.0
2007 HK Equity,1.0
2068 HK Equity,-1.0
2186 HK Equity,-1.0
2218 HK Equity,1.0
2359 HK Equity,-1.0
2669 HK Equity,-1.0
2777 HK Equity,-1.0
303 HK Equity,-1.0
317 HK Equity,1.0
3311 HK Equity,-2.0
3369 HK Equity,-1.0
338 HK Equity,-1.0
345 HK Equity,-1.0
3866 HK Equity,1.0
3888 HK Equity,-1.0
3898 HK Equity,1.0
392 HK Equity,-1.0
535 HK Equity,-1.0
6862 HK Equity,-2.0
6886 HK Equity,-1.0
69 HK Equity,-1.0
873 HK Equity,1.0
895 HK Equity,1.0
960 HK Equity,-1.0
966 HK Equity,-1.0
