,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
7202 JT Equity,2022-05-07,SELL,五十铃汽车,-41846,0,0,1560.0,130.56,500000,0,0,Quant,Pattern 87,topix
7463 JT Equity,2022-05-07,BUY,Advan集团有限公司,80992,0,0,806.0,130.56,500000,0,0,Quant,Pattern 87,topix
7524 JT Equity,2022-05-07,SELL,Marche Corp,-139785,0,0,467.0,130.56,500000,0,0,Quant,Pattern 87,topix
8362 JT Equity,2022-05-07,BUY,福井银行,46728,0,0,1397.0,130.56,500000,0,0,Quant,Pattern 87,topix
8473 JT Equity,2022-05-07,SELL,SBI控股株式会社,-22533,0,0,2897.0,130.56,500000,0,0,Quant,Pattern 87,topix
8769 JT Equity,2022-05-07,BUY,日本利益风险管理有限公司,128757,0,0,507.0,130.56,500000,0,0,Quant,Pattern 87,topix
9081 JT Equity,2022-05-07,SELL,神奈川中央交通株式会社,-19342,0,0,3375.0,130.56,500000,0,0,Quant,Pattern 87,topix
ADSEZ IS Equity,2022-05-07,BUY,阿达尼港口和经济特区有限公司,94817,0,0,811.35,76.93,1000000,0,0,Quant,Pattern 87,IN
CIPLA IS Equity,2022-05-07,BUY,Cipla有限公司/印度,81115,0,0,948.4,76.93,1000000,0,0,Quant,Pattern 87,IN
1333 JT Equity,2022-05-07,SELL,丸羽日朗株式会社,-54490,0,0,2396.0,130.56,1000000,0,0,Quant,Pattern 87,JT
1808 JT Equity,2022-05-07,SELL,长谷工株式会社,-92464,0,0,1412.0,130.56,1000000,0,0,Quant,Pattern 87,JT
2282 JT Equity,2022-05-07,SELL,日本火腿,-31805,0,0,4105.0,130.56,1000000,0,0,Quant,Pattern 87,JT
4021 JT Equity,2022-05-07,SELL,日产化学,-18545,0,0,7040.0,130.56,1000000,0,0,Quant,Pattern 87,JT
4151 JT Equity,2022-05-07,BUY,协和麒麟株式会社,47321,0,0,2759.0,130.56,1000000,0,0,Quant,Pattern 87,JT
5202 JT Equity,2022-05-07,BUY,日本板硝子株式会社,325586,0,0,401.0,130.56,1000000,0,0,Quant,Pattern 87,JT
5301 JT Equity,2022-05-07,BUY,东海碳素,118153,0,0,1105.0,130.56,1000000,0,0,Quant,Pattern 87,JT
5803 JT Equity,2022-05-07,SELL,藤仓株式会社,-207898,0,0,628.0,130.56,1000000,0,0,Quant,Pattern 87,JT
1635 HK Equity,2022-05-07,BUY,大众公用,5198410,0,0,1.51,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
1766 HK Equity,2022-05-07,BUY,中国中车,2725555,0,0,2.88,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
1816 HK Equity,2022-05-07,SELL,中国广核,-3792077,0,0,2.07,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
1882 HK Equity,2022-05-07,BUY,海天国际,394056,0,0,19.92,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
19 HK Equity,2022-05-07,SELL,太古股份公司,-175410,0,0,44.75,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
1963 HK Equity,2022-05-07,SELL,重庆银行,-1829743,0,0,4.29,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
2282 HK Equity,2022-05-07,SELL,美高梅中国,-1817037,0,0,4.32,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
2382 HK Equity,2022-05-07,BUY,舜宇光学科技,78417,0,0,100.1,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
2628 HK Equity,2022-05-07,SELL,中国人寿,-695886,0,0,11.28,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
2669 HK Equity,2022-05-07,SELL,中海物业,-884960,0,0,8.87,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
GM US Equity,2022-05-07,SELL,通用汽车公司,-12515,0,0,39.95,1.0,500000,0,0,Quant,Pattern 87,SPX
INTC US Equity,2022-05-07,BUY,英特尔,22421,0,0,44.6,1.0,500000,0,0,Quant,Pattern 87,SPX
IRM US Equity,2022-05-07,SELL,美国铁山公司,-9160,0,0,54.58,1.0,500000,0,0,Quant,Pattern 87,SPX
PPL US Equity,2022-05-07,SELL,PPL公司,-17361,0,0,28.8,1.0,500000,0,0,Quant,Pattern 87,SPX
SEE US Equity,2022-05-07,SELL,希悦尔公司,-7716,0,0,64.8,1.0,500000,0,0,Quant,Pattern 87,SPX
SO US Equity,2022-05-07,SELL,南方公司,-6751,0,0,74.06,1.0,500000,0,0,Quant,Pattern 87,SPX
TGT US Equity,2022-05-07,SELL,塔吉特公司,-2166,0,0,230.76,1.0,500000,0,0,Quant,Pattern 87,SPX
27 HK Equity,2022-05-07,SELL,银河娱乐,-182125,0,0,43.1,7.8496,1000000,0,0,Quant,Pattern 87,HIS
762 HK Equity,2022-05-07,SELL,中国联通,-2104450,0,0,3.73,7.8496,1000000,0,0,Quant,Pattern 87,HIS
823 HK Equity,2022-05-07,BUY,领展房产基金,117158,0,0,67.0,7.8496,1000000,0,0,Quant,Pattern 87,HIS
002941 CH Equity,2022-05-07,SELL,新疆交建,-392177,0,0,17.13,6.718,500000,0,0,Quant,Pattern 87,CN-500
002946 CH Equity,2022-05-07,SELL,新乳业,-616330,0,0,10.9,6.718,500000,0,0,Quant,Pattern 87,CN-500
300027 CH Equity,2022-05-07,BUY,华谊兄弟,1429361,0,0,2.35,6.718,500000,0,0,Quant,Pattern 87,CN-500
300159 CH Equity,2022-05-07,BUY,新研股份,1975882,0,0,1.7,6.718,500000,0,0,Quant,Pattern 87,CN-500
600125 CH Equity,2022-05-07,BUY,铁龙物流,714680,0,0,4.7,6.718,500000,0,0,Quant,Pattern 87,CN-500
600291 CH Equity,2022-05-07,BUY,*ST西水,1941618,0,0,1.73,6.718,500000,0,0,Quant,Pattern 87,CN-500
600557 CH Equity,2022-05-07,SELL,康缘药业,-230542,0,0,14.57,6.718,500000,0,0,Quant,Pattern 87,CN-500
600623 CH Equity,2022-05-07,SELL,华谊集团,-455149,0,0,7.38,6.718,500000,0,0,Quant,Pattern 87,CN-500
600748 CH Equity,2022-05-07,BUY,上实发展,907837,0,0,3.7,6.718,500000,0,0,Quant,Pattern 87,CN-500
600763 CH Equity,2022-05-07,SELL,通策医疗,-26584,0,0,126.35,6.718,500000,0,0,Quant,Pattern 87,CN-500
