,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
522 HK Equity,2022-05-03,BUY,ASM PACIFIC,98036,0,0,80.05,7.8478,1000000,0,0,Quant,Pattern 87,HK-Conn
6178 HK Equity,2022-05-03,SELL,光大证券,-1604867,0,0,4.89,7.8478,1000000,0,0,Quant,Pattern 87,HK-Conn
788 HK Equity,2022-05-03,SELL,中国铁塔,-17060434,0,0,0.92,7.8478,1000000,0,0,Quant,Pattern 87,HK-Conn
868 HK Equity,2022-05-03,BUY,信义玻璃,444382,0,0,17.66,7.8478,1000000,0,0,Quant,Pattern 87,HK-Conn
873 HK Equity,2022-05-03,BUY,世茂服务,1868523,0,0,4.2,7.8478,1000000,0,0,Quant,Pattern 87,HK-Conn
884 HK Equity,2022-05-03,SELL,旭辉控股集团,-2049033,0,0,3.83,7.8478,1000000,0,0,Quant,Pattern 87,HK-Conn
995 HK Equity,2022-05-03,BUY,皖通高速,1132438,0,0,6.93,7.8478,1000000,0,0,Quant,Pattern 87,HK-Conn
2215 JT Equity,2022-05-03,SELL,First Baking有限公司,-123697,0,0,526.0,130.13,500000,0,0,Quant,Pattern 87,topix
2229 JT Equity,2022-05-03,SELL,卡乐B株式会社,-27984,0,0,2325.0,130.13,500000,0,0,Quant,Pattern 87,topix
2418 JT Equity,2022-05-03,BUY,Tsukada环球控股股份有限公司,202065,0,0,322.0,130.13,500000,0,0,Quant,Pattern 87,topix
VLO US Equity,2022-05-03,BUY,Valero 能源,4485,0,0,111.48,1.0,500000,0,0,Quant,Pattern 87,SPX
YUM US Equity,2022-05-03,SELL,百胜餐饮集团,-4273,0,0,117.01,1.0,500000,0,0,Quant,Pattern 87,SPX
6 HK Equity,2022-05-03,SELL,电能实业,-148491,0,0,52.85,7.8478,1000000,0,0,Quant,Pattern 87,HIS
101 HK Equity,2022-05-03,SELL,恒隆地产,-522490,0,0,15.02,7.8478,1000000,0,0,Quant,Pattern 87,HIS
175 HK Equity,2022-05-03,SELL,吉利汽车,-630852,0,0,12.44,7.8478,1000000,0,0,Quant,Pattern 87,HIS
