,4500
11 HK Equity,1.0
1112 HK Equity,1.0
1113 HK Equity,-1.0
1157 HK Equity,-1.0
1208 HK Equity,-2.0
1308 HK Equity,-1.0
1330 HK Equity,-1.0
14 HK Equity,-1.0
1776 HK Equity,-1.0
1918 HK Equity,1.0
1963 HK Equity,-1.0
2005 HK Equity,-1.0
23 HK Equity,-1.0
2601 HK Equity,1.0
2689 HK Equity,-1.0
270 HK Equity,-1.0
317 HK Equity,-1.0
3969 HK Equity,-1.0
636 HK Equity,1.0
6808 HK Equity,1.0
6869 HK Equity,1.0
780 HK Equity,-1.0
867 HK Equity,-1.0
873 HK Equity,1.0
874 HK Equity,1.0
991 HK Equity,1.0
