,4463
1333 JT Equity,-1.0
1801 JT Equity,1.0
1812 JT Equity,-2.0
2501 JT Equity,1.0
2914 JT Equity,-1.0
3105 JT Equity,-1.0
3402 JT Equity,-1.0
4042 JT Equity,-1.0
4061 JT Equity,-1.0
4151 JT Equity,-1.0
4208 JT Equity,-1.0
4452 JT Equity,1.0
4755 JT Equity,-1.0
5108 JT Equity,-1.0
5202 JT Equity,1.0
5631 JT Equity,-1.0
5706 JT Equity,1.0
5707 JT Equity,-1.0
5713 JT Equity,-1.0
5714 JT Equity,1.0
5801 JT Equity,1.0
6305 JT Equity,-1.0
6361 JT Equity,-1.0
6503 JT Equity,1.0
6758 JT Equity,1.0
7011 JT Equity,-1.0
7205 JT Equity,1.0
7211 JT Equity,1.0
7269 JT Equity,-1.0
7751 JT Equity,-1.0
7762 JT Equity,-1.0
7912 JT Equity,1.0
8031 JT Equity,1.0
8035 JT Equity,-1.0
8267 JT Equity,2.0
8308 JT Equity,1.0
8316 JT Equity,1.0
8354 JT Equity,-1.0
8604 JT Equity,1.0
8630 JT Equity,-1.0
8795 JT Equity,1.0
8801 JT Equity,-1.0
9021 JT Equity,-1.0
