,3208
11 HK Equity,1.0
66 HK Equity,1.0
288 HK Equity,-1.0
1038 HK Equity,-1.0
1113 HK Equity,-1.0
1810 HK Equity,1.0
1997 HK Equity,-1.0
2269 HK Equity,-1.0
2313 HK Equity,-1.0
