,3184
032190 KS Equity,-1.0
041510 KS Equity,-1.0
045390 KS Equity,1.0
056190 KS Equity,1.0
060150 KS Equity,-1.0
064550 KS Equity,1.0
064760 KS Equity,-1.0
078020 KS Equity,1.0
080160 KS Equity,1.0
082270 KS Equity,-1.0
088800 KS Equity,-1.0
089980 KS Equity,-1.0
104480 KS Equity,1.0
112040 KS Equity,1.0
119860 KS Equity,-1.0
138080 KS Equity,-1.0
144510 KS Equity,-1.0
183490 KS Equity,1.0
194480 KS Equity,-1.0
214150 KS Equity,-1.0
214450 KS Equity,2.0
218410 KS Equity,1.0
222080 KS Equity,1.0
272290 KS Equity,1.0
