,tradeDate,openPrice,highPrice,lowPrice,closePrice,Volume
0,2020-03-01 17:29,8349.25,8386.0,8224.25,8367.0,165559750.75
1,2020-03-01 17:59,8366.5,8374.75,8320.0,8355.75,81189231.5
2,2020-03-01 18:29,8355.5,8389.5,8340.75,8354.5,104043600.75
3,2020-03-01 18:59,8354.25,8362.5,8316.25,8349.0,107805144.75
4,2020-03-01 19:29,8348.75,8425.0,8348.0,8424.5,135082738.75
5,2020-03-01 19:59,8424.5,8501.25,8417.25,8444.5,177910907.25
6,2020-03-01 20:29,8444.5,8514.75,8431.75,8498.5,144298528.5
7,2020-03-01 20:59,8498.5,8556.75,8481.75,8532.25,138729177.75
8,2020-03-01 21:29,8531.25,8562.5,8500.0,8531.5,115478783.75
9,2020-03-01 21:59,8530.75,8554.25,8503.0,8514.5,89033215.75
10,2020-03-01 22:29,8513.25,8532.75,8482.0,8507.5,93567210.25
11,2020-03-01 22:59,8507.5,8514.5,8465.25,8497.75,104236756.75
12,2020-03-01 23:29,8497.0,8525.75,8485.5,8523.25,62522994.75
13,2020-03-01 23:59,8523.5,8524.5,8492.5,8512.75,60428810.0
14,2020-03-02 00:29,8512.75,8513.75,8479.25,8502.75,74628307.5
15,2020-03-02 00:59,8502.75,8509.25,8483.0,8506.5,53293418.75
16,2020-03-02 01:29,8506.75,8534.5,8495.25,8516.25,115567301.25
17,2020-03-02 01:59,8516.5,8628.75,8513.5,8620.75,170088254.25
18,2020-03-02 02:29,8620.0,8654.25,8590.75,8611.5,226172807.75
19,2020-03-02 02:59,8611.75,8677.25,8598.25,8602.0,183758534.0
20,2020-03-02 03:29,8601.25,8635.5,8572.25,8611.25,157925834.75
21,2020-03-02 03:59,8611.25,8619.0,8505.25,8542.25,210541885.0
22,2020-03-02 04:29,8541.75,8544.5,8497.5,8535.75,119066875.75
23,2020-03-02 04:59,8535.25,8558.75,8501.0,8502.0,95390493.75
24,2020-03-02 05:29,8502.5,8504.0,8443.0,8446.0,153327773.75
25,2020-03-02 05:59,8446.0,8458.5,8363.5,8381.0,184927155.25
26,2020-03-02 06:29,8381.75,8432.5,8377.0,8426.5,175694423.25
27,2020-03-02 06:59,8426.25,8464.0,8400.75,8451.25,153260571.75
28,2020-03-02 07:29,8451.25,8471.5,8404.0,8421.25,188009705.75
29,2020-03-02 07:59,8421.5,8517.25,8405.25,8509.5,207506643.0
30,2020-03-02 08:29,8510.25,8572.25,8510.25,8564.75,273685956.75
31,2020-03-02 08:59,8564.0,8596.0,8485.0,8514.75,739970148.0
32,2020-03-02 09:29,8514.25,8534.0,8443.0,8485.0,643122991.25
33,2020-03-02 09:59,8484.75,8597.5,8447.75,8557.0,677650059.75
34,2020-03-02 10:29,8556.5,8667.0,8552.75,8657.25,560581376.5
35,2020-03-02 10:59,8657.25,8730.5,8637.0,8724.5,501454173.25
36,2020-03-02 11:29,8724.75,8734.25,8654.5,8681.0,385982731.25
37,2020-03-02 11:59,8681.0,8736.25,8677.75,8726.5,324576776.75
38,2020-03-02 12:29,8726.75,8735.25,8639.5,8650.75,333456917.5
39,2020-03-02 12:59,8651.5,8692.75,8631.75,8678.25,335243966.5
40,2020-03-02 13:29,8677.75,8706.0,8651.0,8652.25,323586126.0
41,2020-03-02 13:59,8652.0,8664.25,8573.25,8611.5,429444138.75
42,2020-03-02 14:29,8610.75,8709.0,8606.75,8703.75,396259778.0
43,2020-03-02 14:59,8704.25,8879.75,8693.25,8876.25,711035221.0
44,2020-03-02 15:29,8876.25,8876.75,8852.25,8870.25,69392646.0
45,2020-03-02 17:29,8830.5,8852.0,8811.5,8823.25,63702047.5
46,2020-03-02 17:59,8825.0,8860.0,8800.0,8859.75,46127157.75
47,2020-03-02 18:29,8858.75,8891.75,8854.0,8871.25,96426033.25
48,2020-03-02 18:59,8871.5,8883.25,8863.25,8882.25,71492493.5
49,2020-03-02 19:29,8882.25,8888.5,8830.25,8858.75,86140216.0
50,2020-03-02 19:59,8859.25,8861.75,8814.25,8818.25,78487490.0
51,2020-03-02 20:29,8818.25,8840.0,8789.5,8804.5,80612268.0
52,2020-03-02 20:59,8804.75,8837.75,8802.25,8821.5,84282871.75
53,2020-03-02 21:29,8821.5,8853.0,8818.25,8848.75,49658804.5
54,2020-03-02 21:59,8847.5,8860.5,8830.0,8832.0,43955492.75
55,2020-03-02 22:29,8832.25,8832.75,8781.75,8786.5,66428696.0
56,2020-03-02 22:59,8786.75,8813.0,8764.75,8788.5,87500415.75
57,2020-03-02 23:29,8789.0,8811.0,8767.0,8778.75,51306504.75
58,2020-03-02 23:59,8778.5,8790.5,8755.5,8757.75,51073518.5
59,2020-03-03 00:29,8758.25,8776.75,8738.75,8773.5,75317370.0
60,2020-03-03 00:59,8774.0,8814.25,8750.75,8809.75,60889884.75
61,2020-03-03 01:29,8810.25,8831.5,8797.75,8812.0,81877586.0
62,2020-03-03 01:59,8812.0,8826.0,8783.75,8824.25,74923359.75
63,2020-03-03 02:29,8823.25,8874.75,8779.75,8855.25,175325418.5
64,2020-03-03 02:59,8855.25,8905.0,8853.75,8865.0,156010529.0
65,2020-03-03 03:29,8865.25,8891.5,8846.75,8869.5,114886523.0
66,2020-03-03 03:59,8870.0,8906.75,8854.75,8897.0,107505821.75
67,2020-03-03 04:29,8897.5,8910.5,8876.5,8901.25,94309514.0
68,2020-03-03 04:59,8901.5,8908.5,8884.0,8901.5,86857192.75
69,2020-03-03 05:29,8901.75,8902.75,8836.5,8850.0,143429228.5
70,2020-03-03 05:59,8850.25,8866.0,8838.25,8849.75,87072591.0
71,2020-03-03 06:29,8850.25,8897.5,8850.25,8893.0,114375097.75
72,2020-03-03 06:59,8892.5,8917.5,8791.75,8830.25,306864896.75
73,2020-03-03 07:29,8830.25,8876.25,8785.25,8864.5,222154747.0
74,2020-03-03 07:59,8864.75,8886.25,8814.75,8850.75,191639609.25
75,2020-03-03 08:29,8850.25,8909.75,8835.75,8902.0,177349509.0
76,2020-03-03 08:59,8901.0,8904.0,8744.75,8780.0,858556971.5
77,2020-03-03 09:29,8780.25,9002.5,8775.5,8900.75,1009472673.0
78,2020-03-03 09:59,8899.75,8954.0,8873.75,8929.75,615316395.75
79,2020-03-03 10:29,8929.5,8938.0,8705.0,8718.5,633134936.75
80,2020-03-03 10:59,8718.75,8838.75,8712.25,8833.25,462457605.75
81,2020-03-03 11:29,8833.75,8863.25,8766.0,8777.0,383786830.25
82,2020-03-03 11:59,8776.75,8817.25,8747.0,8764.25,275229792.25
83,2020-03-03 12:29,8763.5,8764.25,8636.75,8676.25,412307671.5
84,2020-03-03 12:59,8676.25,8698.0,8585.0,8590.25,515545782.25
85,2020-03-03 13:29,8590.25,8613.25,8511.0,8591.25,617677047.75
86,2020-03-03 13:59,8592.0,8633.0,8539.25,8617.5,387972489.5
87,2020-03-03 14:29,8618.5,8704.5,8601.0,8700.25,412163627.0
88,2020-03-03 14:59,8699.75,8700.25,8560.75,8595.5,644665811.0
89,2020-03-03 15:29,8595.75,8623.0,8579.75,8605.75,31549067.25
90,2020-03-03 17:29,8557.5,8578.0,8508.25,8552.5,65968526.0
91,2020-03-03 17:59,8553.25,8567.5,8533.0,8562.75,43646884.25
92,2020-03-03 18:29,8561.75,8634.75,8556.75,8616.25,122398430.25
93,2020-03-03 18:59,8615.75,8663.5,8615.5,8648.5,137219788.5
94,2020-03-03 19:29,8648.75,8672.0,8645.25,8664.5,91454316.75
95,2020-03-03 19:59,8665.25,8674.0,8629.0,8642.5,68316703.25
96,2020-03-03 20:29,8641.75,8665.5,8623.75,8660.75,62820857.25
