,17
300124 CH Equity,1.0
300138 CH Equity,1.0
300149 CH Equity,1.0
300162 CH Equity,1.0
300166 CH Equity,1.0
300174 CH Equity,1.0
300179 CH Equity,1.0
300181 CH Equity,1.0
300189 CH Equity,1.0
300196 CH Equity,1.0
300199 CH Equity,1.0
300204 CH Equity,1.0
300207 CH Equity,1.0
300212 CH Equity,1.0
300218 CH Equity,1.0
300219 CH Equity,1.0
300223 CH Equity,1.0
300244 CH Equity,1.0
300249 CH Equity,1.0
300268 CH Equity,1.0
300271 CH Equity,1.0
300274 CH Equity,1.0
300284 CH Equity,1.0
300316 CH Equity,1.0
300327 CH Equity,1.0
300343 CH Equity,1.0
300365 CH Equity,1.0
300373 CH Equity,1.0
300394 CH Equity,1.0
300411 CH Equity,1.0
300413 CH Equity,1.0
300415 CH Equity,1.0
300433 CH Equity,1.0
300450 CH Equity,1.0
300453 CH Equity,1.0
300457 CH Equity,1.0
300460 CH Equity,1.0
300463 CH Equity,1.0
300487 CH Equity,1.0
300496 CH Equity,1.0
300505 CH Equity,1.0
300529 CH Equity,1.0
300548 CH Equity,1.0
300552 CH Equity,1.0
300558 CH Equity,1.0
300568 CH Equity,1.0
300577 CH Equity,1.0
300589 CH Equity,1.0
300601 CH Equity,1.0
300606 CH Equity,1.0
300613 CH Equity,1.0
300628 CH Equity,1.0
300630 CH Equity,1.0
300638 CH Equity,1.0
300639 CH Equity,1.0
300661 CH Equity,1.0
300673 CH Equity,1.0
300674 CH Equity,1.0
300685 CH Equity,1.0
300692 CH Equity,1.0
300694 CH Equity,1.0
300708 CH Equity,1.0
300750 CH Equity,1.0
300751 CH Equity,1.0
300760 CH Equity,1.0
300761 CH Equity,1.0
300763 CH Equity,1.0
300766 CH Equity,1.0
300769 CH Equity,1.0
300801 CH Equity,1.0
300827 CH Equity,1.0
300832 CH Equity,1.0
300855 CH Equity,1.0
300863 CH Equity,1.0
300867 CH Equity,1.0
300878 CH Equity,1.0
300887 CH Equity,1.0
300901 CH Equity,1.0
300911 CH Equity,1.0
300915 CH Equity,1.0
300918 CH Equity,1.0
300926 CH Equity,1.0
300948 CH Equity,1.0
300957 CH Equity,1.0
300963 CH Equity,1.0
300979 CH Equity,1.0
301015 CH Equity,1.0
301019 CH Equity,1.0
301039 CH Equity,1.0
301060 CH Equity,1.0
301072 CH Equity,1.0
301076 CH Equity,1.0
301080 CH Equity,1.0
301093 CH Equity,1.0
301116 CH Equity,1.0
301119 CH Equity,1.0
301128 CH Equity,1.0
301129 CH Equity,1.0
301135 CH Equity,1.0
301168 CH Equity,1.0
301188 CH Equity,1.0
301200 CH Equity,1.0
301212 CH Equity,1.0
301219 CH Equity,1.0
301268 CH Equity,1.0
600000 CH Equity,1.0
600006 CH Equity,1.0
600007 CH Equity,1.0
600011 CH Equity,1.0
600015 CH Equity,1.0
600017 CH Equity,1.0
600018 CH Equity,1.0
600026 CH Equity,1.0
600027 CH Equity,1.0
600028 CH Equity,1.0
600029 CH Equity,1.0
600031 CH Equity,1.0
600032 CH Equity,1.0
600033 CH Equity,1.0
600035 CH Equity,1.0
600036 CH Equity,1.0
600048 CH Equity,1.0
600050 CH Equity,1.0
600054 CH Equity,1.0
600057 CH Equity,1.0
600058 CH Equity,1.0
600089 CH Equity,1.0
600096 CH Equity,1.0
600104 CH Equity,1.0
600108 CH Equity,1.0
600132 CH Equity,1.0
600139 CH Equity,1.0
600153 CH Equity,1.0
600162 CH Equity,1.0
600166 CH Equity,1.0
600172 CH Equity,1.0
600180 CH Equity,1.0
600196 CH Equity,1.0
600198 CH Equity,1.0
600202 CH Equity,1.0
600217 CH Equity,1.0
600223 CH Equity,1.0
600256 CH Equity,1.0
600257 CH Equity,1.0
600276 CH Equity,1.0
600298 CH Equity,1.0
600309 CH Equity,1.0
600313 CH Equity,1.0
600348 CH Equity,1.0
600369 CH Equity,1.0
600371 CH Equity,1.0
600375 CH Equity,1.0
600376 CH Equity,1.0
600377 CH Equity,1.0
600378 CH Equity,1.0
600380 CH Equity,1.0
600389 CH Equity,1.0
600397 CH Equity,1.0
600398 CH Equity,1.0
600403 CH Equity,1.0
600418 CH Equity,1.0
600426 CH Equity,1.0
600436 CH Equity,1.0
600483 CH Equity,1.0
600486 CH Equity,1.0
600498 CH Equity,1.0
600500 CH Equity,1.0
600508 CH Equity,1.0
600517 CH Equity,1.0
600518 CH Equity,1.0
600519 CH Equity,1.0
600522 CH Equity,1.0
600526 CH Equity,1.0
600535 CH Equity,1.0
600549 CH Equity,1.0
600557 CH Equity,1.0
600572 CH Equity,1.0
600575 CH Equity,1.0
600582 CH Equity,1.0
600584 CH Equity,1.0
600597 CH Equity,1.0
600600 CH Equity,1.0
600606 CH Equity,1.0
600660 CH Equity,1.0
600674 CH Equity,1.0
600678 CH Equity,1.0
600686 CH Equity,1.0
600689 CH Equity,1.0
600690 CH Equity,1.0
600741 CH Equity,1.0
600755 CH Equity,1.0
600769 CH Equity,1.0
600776 CH Equity,1.0
600782 CH Equity,1.0
600787 CH Equity,1.0
600803 CH Equity,1.0
600804 CH Equity,1.0
600820 CH Equity,1.0
600833 CH Equity,1.0
600837 CH Equity,1.0
600848 CH Equity,1.0
600854 CH Equity,1.0
600863 CH Equity,1.0
600874 CH Equity,1.0
600875 CH Equity,1.0
600884 CH Equity,1.0
600887 CH Equity,1.0
600892 CH Equity,1.0
600894 CH Equity,1.0
600900 CH Equity,1.0
600905 CH Equity,1.0
600918 CH Equity,1.0
600919 CH Equity,1.0
600941 CH Equity,1.0
600958 CH Equity,1.0
600965 CH Equity,1.0
600980 CH Equity,1.0
600982 CH Equity,1.0
601001 CH Equity,1.0
601003 CH Equity,1.0
601006 CH Equity,1.0
601008 CH Equity,1.0
601009 CH Equity,1.0
601012 CH Equity,1.0
