,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
002157 CH Equity,2022-05-20,BUY,正邦科技,115993,0,0,5.8,6.7276,100000,0,0,Quant,Pattern 95,CN
002176 CH Equity,2022-05-20,BUY,江特电机,32220,0,0,20.88,6.7276,100000,0,0,Quant,Pattern 95,CN
002180 CH Equity,2022-05-20,SELL,纳思达,-14900,0,0,45.15,6.7276,100000,0,0,Quant,Pattern 95,CN
002182 CH Equity,2022-05-20,SELL,云海金属,-37334,0,0,18.02,6.7276,100000,0,0,Quant,Pattern 95,CN
002186 CH Equity,2022-05-20,SELL,全 聚 德,-81447,0,0,8.26,6.7276,100000,0,0,Quant,Pattern 95,CN
002189 CH Equity,2022-05-20,SELL,中光学,-49871,0,0,13.49,6.7276,100000,0,0,Quant,Pattern 95,CN
002192 CH Equity,2022-05-20,SELL,融捷股份,-5356,0,0,125.6,6.7276,100000,0,0,Quant,Pattern 95,CN
002197 CH Equity,2022-05-20,SELL,证通电子,-71952,0,0,9.35,6.7276,100000,0,0,Quant,Pattern 95,CN
002203 CH Equity,2022-05-20,BUY,海亮股份,69356,0,0,9.7,6.7276,100000,0,0,Quant,Pattern 95,CN
002204 CH Equity,2022-05-20,BUY,大连重工,192217,0,0,3.5,6.7276,100000,0,0,Quant,Pattern 95,CN
000560 CH Equity,2022-05-20,BUY,我爱我家,217721,0,0,3.09,6.7276,100000,0,0,Quant,Pattern 95,CN
000568 CH Equity,2022-05-20,BUY,泸州老窖,3429,0,0,196.17,6.7276,100000,0,0,Quant,Pattern 95,CN
000572 CH Equity,2022-05-20,BUY,ST海马,131913,0,0,5.1,6.7276,100000,0,0,Quant,Pattern 95,CN
000581 CH Equity,2022-05-20,BUY,威孚高科,32563,0,0,20.66,6.7276,100000,0,0,Quant,Pattern 95,CN
000582 CH Equity,2022-05-20,SELL,北部湾港,-87942,0,0,7.65,6.7276,100000,0,0,Quant,Pattern 95,CN
000592 CH Equity,2022-05-20,BUY,平潭发展,263827,0,0,2.55,6.7276,100000,0,0,Quant,Pattern 95,CN
000600 CH Equity,2022-05-20,BUY,建投能源,160180,0,0,4.2,6.7276,100000,0,0,Quant,Pattern 95,CN
000625 CH Equity,2022-05-20,BUY,长安汽车,48715,0,0,13.81,6.7276,100000,0,0,Quant,Pattern 95,CN
000651 CH Equity,2022-05-20,BUY,格力电器,20561,0,0,32.72,6.7276,100000,0,0,Quant,Pattern 95,CN
000667 CH Equity,2022-05-20,BUY,美好置业,398082,0,0,1.69,6.7276,100000,0,0,Quant,Pattern 95,CN
300228 CH Equity,2022-05-20,BUY,富瑞特装,114414,0,0,5.88,6.7276,100000,0,0,Quant,Pattern 95,CN
300245 CH Equity,2022-05-20,BUY,天玑科技,87942,0,0,7.65,6.7276,100000,0,0,Quant,Pattern 95,CN
300257 CH Equity,2022-05-20,BUY,开山股份,49286,0,0,13.65,6.7276,100000,0,0,Quant,Pattern 95,CN
300261 CH Equity,2022-05-20,SELL,雅本化学股份有限公司,-39690,0,0,16.95,6.7276,100000,0,0,Quant,Pattern 95,CN
300273 CH Equity,2022-05-20,SELL,和佳医疗,-310027,0,0,2.17,6.7276,100000,0,0,Quant,Pattern 95,CN
300281 CH Equity,2022-05-20,BUY,金明精机,134821,0,0,4.99,6.7276,100000,0,0,Quant,Pattern 95,CN
300292 CH Equity,2022-05-20,SELL,吴通控股,-194439,0,0,3.46,6.7276,100000,0,0,Quant,Pattern 95,CN
300313 CH Equity,2022-05-20,BUY,天山生物,89581,0,0,7.51,6.7276,100000,0,0,Quant,Pattern 95,CN
300316 CH Equity,2022-05-20,SELL,晶盛机电,-11970,0,0,56.2,6.7276,100000,0,0,Quant,Pattern 95,CN
300318 CH Equity,2022-05-20,SELL,博晖创新,-110833,0,0,6.07,6.7276,100000,0,0,Quant,Pattern 95,CN
300117 CH Equity,2022-05-20,SELL,嘉寓股份,-161721,0,0,4.16,6.7276,100000,0,0,Quant,Pattern 95,CN
300118 CH Equity,2022-05-20,BUY,东方日升,24926,0,0,26.99,6.7276,100000,0,0,Quant,Pattern 95,CN
300119 CH Equity,2022-05-20,BUY,瑞普生物,40045,0,0,16.8,6.7276,100000,0,0,Quant,Pattern 95,CN
300122 CH Equity,2022-05-20,SELL,智飞生物,-7326,0,0,91.82,6.7276,100000,0,0,Quant,Pattern 95,CN
300142 CH Equity,2022-05-20,BUY,沃森生物,14289,0,0,47.08,6.7276,100000,0,0,Quant,Pattern 95,CN
300164 CH Equity,2022-05-20,SELL,通源石油,-143752,0,0,4.68,6.7276,100000,0,0,Quant,Pattern 95,CN
300192 CH Equity,2022-05-20,SELL,苏州科德教育科技股份有限公司,-120135,0,0,5.6,6.7276,100000,0,0,Quant,Pattern 95,CN
300215 CH Equity,2022-05-20,BUY,电科院,108160,0,0,6.22,6.7276,100000,0,0,Quant,Pattern 95,CN
300224 CH Equity,2022-05-20,BUY,正海磁材,53393,0,0,12.6,6.7276,100000,0,0,Quant,Pattern 95,CN
300225 CH Equity,2022-05-20,BUY,金力泰,101015,0,0,6.66,6.7276,100000,0,0,Quant,Pattern 95,CN
002589 CH Equity,2022-05-20,BUY,瑞康医药,182319,0,0,3.69,6.7276,100000,0,0,Quant,Pattern 95,CN
002590 CH Equity,2022-05-20,SELL,万安科技,-94356,0,0,7.13,6.7276,100000,0,0,Quant,Pattern 95,CN
002594 CH Equity,2022-05-20,BUY,比亚迪,2364,0,0,284.51,6.7276,100000,0,0,Quant,Pattern 95,CN
002599 CH Equity,2022-05-20,SELL,盛通股份,-153598,0,0,4.38,6.7276,100000,0,0,Quant,Pattern 95,CN
002607 CH Equity,2022-05-20,BUY,中公教育,124816,0,0,5.39,6.7276,100000,0,0,Quant,Pattern 95,CN
002608 CH Equity,2022-05-20,BUY,江苏国信,116193,0,0,5.79,6.7276,100000,0,0,Quant,Pattern 95,CN
002613 CH Equity,2022-05-20,SELL,北玻股份,-103184,0,0,6.52,6.7276,100000,0,0,Quant,Pattern 95,CN
002620 CH Equity,2022-05-20,BUY,瑞和股份,104791,0,0,6.42,6.7276,100000,0,0,Quant,Pattern 95,CN
002625 CH Equity,2022-05-20,BUY,光启技术,44435,0,0,15.14,6.7276,100000,0,0,Quant,Pattern 95,CN
