,18
300273 CH Equity,-1.0
300274 CH Equity,-1.0
300284 CH Equity,1.0
300307 CH Equity,1.0
300308 CH Equity,1.0
300315 CH Equity,-1.0
300316 CH Equity,1.0
300357 CH Equity,-1.0
300366 CH Equity,-1.0
300369 CH Equity,-1.0
300373 CH Equity,-1.0
300383 CH Equity,-1.0
300388 CH Equity,-1.0
300393 CH Equity,1.0
300394 CH Equity,-1.0
300395 CH Equity,1.0
300397 CH Equity,-1.0
300413 CH Equity,-1.0
300414 CH Equity,1.0
300416 CH Equity,1.0
300433 CH Equity,-1.0
300444 CH Equity,-1.0
300450 CH Equity,-1.0
300470 CH Equity,-1.0
300481 CH Equity,1.0
300486 CH Equity,1.0
300487 CH Equity,1.0
300496 CH Equity,-1.0
300504 CH Equity,-1.0
300514 CH Equity,-1.0
300548 CH Equity,1.0
300558 CH Equity,-1.0
300587 CH Equity,-1.0
300627 CH Equity,-1.0
300639 CH Equity,1.0
300657 CH Equity,-1.0
300661 CH Equity,-1.0
300665 CH Equity,-1.0
300672 CH Equity,1.0
300674 CH Equity,1.0
300699 CH Equity,-1.0
300711 CH Equity,1.0
300712 CH Equity,-1.0
300726 CH Equity,-1.0
300740 CH Equity,1.0
300743 CH Equity,1.0
300747 CH Equity,-1.0
300760 CH Equity,-1.0
300773 CH Equity,-1.0
300775 CH Equity,-1.0
300777 CH Equity,-1.0
300782 CH Equity,1.0
300786 CH Equity,-1.0
300806 CH Equity,1.0
300809 CH Equity,1.0
300832 CH Equity,1.0
300858 CH Equity,-1.0
300861 CH Equity,1.0
300863 CH Equity,-1.0
300867 CH Equity,-1.0
300870 CH Equity,-1.0
300871 CH Equity,-1.0
300883 CH Equity,-1.0
300887 CH Equity,1.0
300888 CH Equity,1.0
300911 CH Equity,-1.0
300915 CH Equity,-1.0
300916 CH Equity,-1.0
300925 CH Equity,1.0
300943 CH Equity,-1.0
300946 CH Equity,1.0
300948 CH Equity,1.0
300949 CH Equity,1.0
300972 CH Equity,1.0
300973 CH Equity,-1.0
300979 CH Equity,-1.0
300980 CH Equity,-1.0
300986 CH Equity,1.0
301010 CH Equity,1.0
301015 CH Equity,-1.0
301018 CH Equity,-1.0
301021 CH Equity,1.0
301040 CH Equity,-1.0
301077 CH Equity,1.0
301089 CH Equity,-1.0
301096 CH Equity,1.0
301111 CH Equity,1.0
301118 CH Equity,-1.0
301151 CH Equity,1.0
301213 CH Equity,1.0
301235 CH Equity,-1.0
600000 CH Equity,1.0
600004 CH Equity,-1.0
600018 CH Equity,-1.0
600023 CH Equity,1.0
600027 CH Equity,1.0
600028 CH Equity,-1.0
600029 CH Equity,-1.0
600035 CH Equity,1.0
600036 CH Equity,1.0
600038 CH Equity,-1.0
600039 CH Equity,1.0
600050 CH Equity,-1.0
600081 CH Equity,-1.0
600085 CH Equity,1.0
600089 CH Equity,1.0
600101 CH Equity,1.0
600103 CH Equity,-1.0
600104 CH Equity,-1.0
600109 CH Equity,-1.0
600115 CH Equity,-1.0
600129 CH Equity,-1.0
600141 CH Equity,-1.0
600153 CH Equity,-1.0
600160 CH Equity,-1.0
600161 CH Equity,-1.0
600163 CH Equity,-1.0
600180 CH Equity,1.0
600196 CH Equity,-1.0
600199 CH Equity,1.0
600238 CH Equity,-1.0
600251 CH Equity,-1.0
600273 CH Equity,-1.0
600278 CH Equity,1.0
600285 CH Equity,-1.0
600297 CH Equity,-1.0
600309 CH Equity,-1.0
600313 CH Equity,1.0
600340 CH Equity,-1.0
600356 CH Equity,1.0
600371 CH Equity,1.0
600372 CH Equity,-1.0
600376 CH Equity,-1.0
600381 CH Equity,1.0
600383 CH Equity,-1.0
600392 CH Equity,-1.0
600398 CH Equity,1.0
600415 CH Equity,1.0
600422 CH Equity,-1.0
600426 CH Equity,-1.0
600428 CH Equity,1.0
600433 CH Equity,1.0
600456 CH Equity,-1.0
600460 CH Equity,-1.0
600461 CH Equity,-1.0
600475 CH Equity,1.0
600486 CH Equity,-1.0
600487 CH Equity,-1.0
600491 CH Equity,-1.0
600496 CH Equity,-1.0
600499 CH Equity,1.0
600502 CH Equity,1.0
