,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
603619 CH Equity,2022-05-12,BUY,中曼石油,13463,0,0,15.18,6.8125,30000,0,0,Quant,Pattern 95,CN
603648 CH Equity,2022-05-12,BUY,畅联股份,18445,0,0,11.08,6.8125,30000,0,0,Quant,Pattern 95,CN
603690 CH Equity,2022-05-12,BUY,至纯科技,5935,0,0,34.43,6.8125,30000,0,0,Quant,Pattern 95,CN
603767 CH Equity,2022-05-12,BUY,中马传动,24476,0,0,8.35,6.8125,30000,0,0,Quant,Pattern 95,CN
603773 CH Equity,2022-05-12,BUY,沃格光电,11786,0,0,17.34,6.8125,30000,0,0,Quant,Pattern 95,CN
603833 CH Equity,2022-05-12,BUY,欧派家居,1829,0,0,111.73,6.8125,30000,0,0,Quant,Pattern 95,CN
603866 CH Equity,2022-05-12,BUY,桃李面包,14291,0,0,14.3,6.8125,30000,0,0,Quant,Pattern 95,CN
603888 CH Equity,2022-05-12,BUY,新华网,13445,0,0,15.2,6.8125,30000,0,0,Quant,Pattern 95,CN
603936 CH Equity,2022-05-12,BUY,博敏电子,21858,0,0,9.35,6.8125,30000,0,0,Quant,Pattern 95,CN
603967 CH Equity,2022-05-12,BUY,中创物流,16284,0,0,12.55,6.8125,30000,0,0,Quant,Pattern 95,CN
605011 CH Equity,2022-05-12,BUY,杭州热电,13271,0,0,15.4,6.8125,30000,0,0,Quant,Pattern 95,CN
605028 CH Equity,2022-05-12,BUY,世茂能源,11930,0,0,17.13,6.8125,30000,0,0,Quant,Pattern 95,CN
605199 CH Equity,2022-05-12,BUY,葫芦娃,12749,0,0,16.03,6.8125,30000,0,0,Quant,Pattern 95,CN
000682 CH Equity,2022-05-12,BUY,东方电子,34995,0,0,5.84,6.8125,30000,0,0,Quant,Pattern 95,CN
000685 CH Equity,2022-05-12,BUY,中山公用,27920,0,0,7.32,6.8125,30000,0,0,Quant,Pattern 95,CN
000719 CH Equity,2022-05-12,BUY,中原传媒,29835,0,0,6.85,6.8125,30000,0,0,Quant,Pattern 95,CN
000739 CH Equity,2022-05-12,BUY,普洛药业,8362,0,0,24.44,6.8125,30000,0,0,Quant,Pattern 95,CN
000756 CH Equity,2022-05-12,BUY,新华制药,9239,0,0,22.12,6.8125,30000,0,0,Quant,Pattern 95,CN
000788 CH Equity,2022-05-12,BUY,北大医药,24534,0,0,8.33,6.8125,30000,0,0,Quant,Pattern 95,CN
000799 CH Equity,2022-05-12,BUY,酒鬼酒,1449,0,0,141.02,6.8125,30000,0,0,Quant,Pattern 95,CN
000848 CH Equity,2022-05-12,BUY,承德露露,23792,0,0,8.59,6.8125,30000,0,0,Quant,Pattern 95,CN
000858 CH Equity,2022-05-12,BUY,五粮液,1297,0,0,157.51,6.8125,30000,0,0,Quant,Pattern 95,CN
000860 CH Equity,2022-05-12,BUY,北京顺鑫农业股份有限公司,10122,0,0,20.19,6.8125,30000,0,0,Quant,Pattern 95,CN
000568 CH Equity,2022-05-12,BUY,泸州老窖,1014,0,0,201.5,6.8125,30000,0,0,Quant,Pattern 95,CN
000582 CH Equity,2022-05-12,BUY,北部湾港,25870,0,0,7.9,6.8125,30000,0,0,Quant,Pattern 95,CN
000598 CH Equity,2022-05-12,BUY,兴蓉环境,40231,0,0,5.08,6.8125,30000,0,0,Quant,Pattern 95,CN
000600 CH Equity,2022-05-12,BUY,建投能源,49246,0,0,4.15,6.8125,30000,0,0,Quant,Pattern 95,CN
000601 CH Equity,2022-05-12,BUY,韶能股份,46238,0,0,4.42,6.8125,30000,0,0,Quant,Pattern 95,CN
000607 CH Equity,2022-05-12,BUY,华媒控股,49246,0,0,4.15,6.8125,30000,0,0,Quant,Pattern 95,CN
000612 CH Equity,2022-05-12,BUY,焦作万方,37987,0,0,5.38,6.8125,30000,0,0,Quant,Pattern 95,CN
000632 CH Equity,2022-05-12,BUY,三木集团,44332,0,0,4.61,6.8125,30000,0,0,Quant,Pattern 95,CN
000661 CH Equity,2022-05-12,BUY,长春高新技术产业(集团)股份有,1289,0,0,158.55,6.8125,30000,0,0,Quant,Pattern 95,CN
000680 CH Equity,2022-05-12,BUY,山推股份,47199,0,0,4.33,6.8125,30000,0,0,Quant,Pattern 95,CN
600276 CH Equity,2022-05-12,BUY,恒瑞医药,6823,0,0,29.95,6.8125,30000,0,0,Quant,Pattern 95,CN
600278 CH Equity,2022-05-12,BUY,东方创业,27033,0,0,7.5600000000000005,6.8125,30000,0,0,Quant,Pattern 95,CN
600284 CH Equity,2022-05-12,BUY,上海浦东建设股份有限公司,27543,0,0,7.42,6.8125,30000,0,0,Quant,Pattern 95,CN
600285 CH Equity,2022-05-12,BUY,羚锐制药,16752,0,0,12.2,6.8125,30000,0,0,Quant,Pattern 95,CN
600297 CH Equity,2022-05-12,BUY,广汇汽车,92477,0,0,2.21,6.8125,30000,0,0,Quant,Pattern 95,CN
600316 CH Equity,2022-05-12,BUY,洪都航空,9103,0,0,22.45,6.8125,30000,0,0,Quant,Pattern 95,CN
600320 CH Equity,2022-05-12,BUY,振华重工,65087,0,0,3.14,6.8125,30000,0,0,Quant,Pattern 95,CN
600396 CH Equity,2022-05-12,BUY,金山股份,64471,0,0,3.17,6.8125,30000,0,0,Quant,Pattern 95,CN
600399 CH Equity,2022-05-12,BUY,抚顺特钢,13499,0,0,15.14,6.8125,30000,0,0,Quant,Pattern 95,CN
600406 CH Equity,2022-05-12,BUY,国电南瑞,6269,0,0,32.6,6.8125,30000,0,0,Quant,Pattern 95,CN
300845 CH Equity,2022-05-12,BUY,捷安高科,13634,0,0,14.99,6.8125,30000,0,0,Quant,Pattern 95,CN
