,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
300134 CH Equity,2022-05-29,BUY,大富科技,36625,0,0,7.34,6.7208,40000,0,0,Quant,Pattern 95,CN
300143 CH Equity,2022-05-29,SELL,盈康生命,-32272,0,0,8.33,6.7208,40000,0,0,Quant,Pattern 95,CN
300149 CH Equity,2022-05-29,BUY,睿智医药,26125,0,0,10.29,6.7208,40000,0,0,Quant,Pattern 95,CN
300152 CH Equity,2022-05-29,BUY,科融环境,79536,0,0,3.38,6.7208,40000,0,0,Quant,Pattern 95,CN
300170 CH Equity,2022-05-29,SELL,汉得信息,-32467,0,0,8.28,6.7208,40000,0,0,Quant,Pattern 95,CN
300182 CH Equity,2022-05-29,BUY,捷成股份,53234,0,0,5.05,6.7208,40000,0,0,Quant,Pattern 95,CN
300207 CH Equity,2022-05-29,BUY,欣旺达,10538,0,0,25.51,6.7208,40000,0,0,Quant,Pattern 95,CN
300209 CH Equity,2022-05-29,BUY,天泽信息,43712,0,0,6.15,6.7208,40000,0,0,Quant,Pattern 95,CN
300212 CH Equity,2022-05-29,BUY,易华录,17014,0,0,15.8,6.7208,40000,0,0,Quant,Pattern 95,CN
300220 CH Equity,2022-05-29,BUY,金运激光,20258,0,0,13.27,6.7208,40000,0,0,Quant,Pattern 95,CN
300224 CH Equity,2022-05-29,SELL,正海磁材,-21927,0,0,12.26,6.7208,40000,0,0,Quant,Pattern 95,CN
300225 CH Equity,2022-05-29,SELL,金力泰,-41231,0,0,6.52,6.7208,40000,0,0,Quant,Pattern 95,CN
300229 CH Equity,2022-05-29,BUY,拓尔思,25651,0,0,10.48,6.7208,40000,0,0,Quant,Pattern 95,CN
300257 CH Equity,2022-05-29,SELL,开山股份,-18958,0,0,14.18,6.7208,40000,0,0,Quant,Pattern 95,CN
300262 CH Equity,2022-05-29,BUY,巴安水务,95669,0,0,2.81,6.7208,40000,0,0,Quant,Pattern 95,CN
300272 CH Equity,2022-05-29,SELL,开能环保,-47749,0,0,5.63,6.7208,40000,0,0,Quant,Pattern 95,CN
300274 CH Equity,2022-05-29,SELL,阳光电源,-3458,0,0,77.74,6.7208,40000,0,0,Quant,Pattern 95,CN
300287 CH Equity,2022-05-29,BUY,飞利信,66542,0,0,4.04,6.7208,40000,0,0,Quant,Pattern 95,CN
300296 CH Equity,2022-05-29,SELL,利亚德,-44508,0,0,6.04,6.7208,40000,0,0,Quant,Pattern 95,CN
300308 CH Equity,2022-05-29,BUY,中际旭创,8892,0,0,30.23,6.7208,40000,0,0,Quant,Pattern 95,CN
002570 CH Equity,2022-05-29,BUY,贝因美,53874,0,0,4.99,6.7208,40000,0,0,Quant,Pattern 95,CN
002579 CH Equity,2022-05-29,BUY,中京电子,40793,0,0,6.59,6.7208,40000,0,0,Quant,Pattern 95,CN
002594 CH Equity,2022-05-29,SELL,比亚迪,-930,0,0,288.88,6.7208,40000,0,0,Quant,Pattern 95,CN
002600 CH Equity,2022-05-29,BUY,领益智造,58441,0,0,4.6,6.7208,40000,0,0,Quant,Pattern 95,CN
002610 CH Equity,2022-05-29,SELL,爱康科技,-80488,0,0,3.34,6.7208,40000,0,0,Quant,Pattern 95,CN
002620 CH Equity,2022-05-29,SELL,瑞和股份,-46916,0,0,5.73,6.7208,40000,0,0,Quant,Pattern 95,CN
002625 CH Equity,2022-05-29,SELL,光启技术,-17756,0,0,15.14,6.7208,40000,0,0,Quant,Pattern 95,CN
