,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
601011 CH Equity,2022-04-27,BUY,宝泰隆,181531,0,0,3.63,6.5896,100000,0,0,Quant,Pattern 95,CN
601101 CH Equity,2022-04-27,BUY,昊华能源,86591,0,0,7.61,6.5896,100000,0,0,Quant,Pattern 95,CN
601116 CH Equity,2022-04-27,SELL,三江购物,-73626,0,0,8.95,6.5896,100000,0,0,Quant,Pattern 95,CN
601166 CH Equity,2022-04-27,BUY,兴业银行,32270,0,0,20.42,6.5896,100000,0,0,Quant,Pattern 95,CN
601168 CH Equity,2022-04-27,SELL,西部矿业,-61184,0,0,10.77,6.5896,100000,0,0,Quant,Pattern 95,CN
601198 CH Equity,2022-04-27,BUY,东兴证券,81353,0,0,8.1,6.5896,100000,0,0,Quant,Pattern 95,CN
601298 CH Equity,2022-04-27,BUY,青岛港,126723,0,0,5.2,6.5896,100000,0,0,Quant,Pattern 95,CN
601336 CH Equity,2022-04-27,SELL,新华保险,-22559,0,0,29.21,6.5896,100000,0,0,Quant,Pattern 95,CN
601628 CH Equity,2022-04-27,SELL,中国人寿,-26646,0,0,24.73,6.5896,100000,0,0,Quant,Pattern 95,CN
601633 CH Equity,2022-04-27,BUY,长城汽车,29536,0,0,22.31,6.5896,100000,0,0,Quant,Pattern 95,CN
000060 CH Equity,2022-04-27,BUY,中金岭南,167248,0,0,3.94,6.5896,100000,0,0,Quant,Pattern 95,CN
000063 CH Equity,2022-04-27,BUY,中兴通讯,29339,0,0,22.46,6.5896,100000,0,0,Quant,Pattern 95,CN
000400 CH Equity,2022-04-27,SELL,许继电气,-49620,0,0,13.28,6.5896,100000,0,0,Quant,Pattern 95,CN
000498 CH Equity,2022-04-27,BUY,山东路桥,69879,0,0,9.43,6.5896,100000,0,0,Quant,Pattern 95,CN
000513 CH Equity,2022-04-27,SELL,丽珠集团,-20244,0,0,32.55,6.5896,100000,0,0,Quant,Pattern 95,CN
000555 CH Equity,2022-04-27,BUY,神州信息,63118,0,0,10.44,6.5896,100000,0,0,Quant,Pattern 95,CN
000625 CH Equity,2022-04-27,SELL,长安汽车,-72813,0,0,9.05,6.5896,100000,0,0,Quant,Pattern 95,CN
000639 CH Equity,2022-04-27,SELL,西王食品,-134207,0,0,4.91,6.5896,100000,0,0,Quant,Pattern 95,CN
000666 CH Equity,2022-04-27,SELL,经纬纺机,-87511,0,0,7.53,6.5896,100000,0,0,Quant,Pattern 95,CN
