,173
000002 CH Equity,1.0
000027 CH Equity,1.0
000034 CH Equity,-1.0
000036 CH Equity,-1.0
000042 CH Equity,1.0
000055 CH Equity,1.0
000088 CH Equity,-1.0
000090 CH Equity,-1.0
000099 CH Equity,-1.0
000100 CH Equity,1.0
000151 CH Equity,1.0
000338 CH Equity,1.0
000402 CH Equity,1.0
000404 CH Equity,1.0
000415 CH Equity,-1.0
000498 CH Equity,1.0
000513 CH Equity,-1.0
000517 CH Equity,1.0
000550 CH Equity,-1.0
000555 CH Equity,-1.0
000558 CH Equity,1.0
000560 CH Equity,1.0
000568 CH Equity,-1.0
000572 CH Equity,1.0
000581 CH Equity,1.0
000582 CH Equity,-1.0
000598 CH Equity,-1.0
000601 CH Equity,-1.0
000607 CH Equity,-1.0
000609 CH Equity,1.0
000612 CH Equity,-1.0
000625 CH Equity,1.0
000632 CH Equity,-1.0
000661 CH Equity,-1.0
000682 CH Equity,-1.0
000685 CH Equity,-1.0
000719 CH Equity,-1.0
000725 CH Equity,1.0
000729 CH Equity,1.0
000753 CH Equity,1.0
000756 CH Equity,-1.0
000766 CH Equity,1.0
000768 CH Equity,1.0
000783 CH Equity,1.0
000788 CH Equity,-1.0
000792 CH Equity,1.0
000797 CH Equity,1.0
000799 CH Equity,-1.0
000818 CH Equity,1.0
000831 CH Equity,1.0
000833 CH Equity,1.0
000848 CH Equity,-1.0
000851 CH Equity,1.0
000858 CH Equity,-1.0
000860 CH Equity,-1.0
000861 CH Equity,-1.0
000877 CH Equity,-1.0
000895 CH Equity,1.0
000899 CH Equity,-1.0
000905 CH Equity,-1.0
000909 CH Equity,1.0
000926 CH Equity,1.0
000937 CH Equity,1.0
000965 CH Equity,1.0
000966 CH Equity,-1.0
000970 CH Equity,1.0
000988 CH Equity,-1.0
000990 CH Equity,1.0
000999 CH Equity,1.0
001203 CH Equity,1.0
001896 CH Equity,-1.0
001979 CH Equity,1.0
002003 CH Equity,1.0
002007 CH Equity,-1.0
002008 CH Equity,1.0
002023 CH Equity,-1.0
002030 CH Equity,1.0
002035 CH Equity,-1.0
002037 CH Equity,-1.0
002038 CH Equity,-1.0
002049 CH Equity,-1.0
002061 CH Equity,1.0
