,18
000027 CH Equity,-1.0
000030 CH Equity,-1.0
000034 CH Equity,1.0
000039 CH Equity,-1.0
000062 CH Equity,-1.0
000065 CH Equity,1.0
000068 CH Equity,-1.0
000070 CH Equity,-1.0
000157 CH Equity,-1.0
000404 CH Equity,1.0
000488 CH Equity,1.0
000506 CH Equity,1.0
000519 CH Equity,-1.0
000547 CH Equity,-1.0
000625 CH Equity,-1.0
000632 CH Equity,1.0
000639 CH Equity,-1.0
000650 CH Equity,-1.0
000651 CH Equity,-1.0
000671 CH Equity,-1.0
000672 CH Equity,-1.0
000683 CH Equity,1.0
000701 CH Equity,1.0
000710 CH Equity,1.0
000725 CH Equity,1.0
000728 CH Equity,1.0
000738 CH Equity,1.0
000758 CH Equity,1.0
000761 CH Equity,-1.0
000767 CH Equity,-1.0
000776 CH Equity,1.0
000791 CH Equity,-1.0
000792 CH Equity,1.0
000801 CH Equity,1.0
000815 CH Equity,1.0
000831 CH Equity,1.0
000837 CH Equity,-1.0
000860 CH Equity,1.0
000869 CH Equity,-1.0
000888 CH Equity,1.0
000899 CH Equity,1.0
000927 CH Equity,1.0
000936 CH Equity,1.0
000938 CH Equity,1.0
000967 CH Equity,-1.0
000968 CH Equity,1.0
000983 CH Equity,1.0
001289 CH Equity,-1.0
001696 CH Equity,1.0
001896 CH Equity,1.0
001979 CH Equity,1.0
002004 CH Equity,1.0
002008 CH Equity,1.0
002012 CH Equity,1.0
002015 CH Equity,1.0
002016 CH Equity,-1.0
002017 CH Equity,-1.0
002027 CH Equity,-1.0
002035 CH Equity,1.0
002036 CH Equity,1.0
002038 CH Equity,1.0
002041 CH Equity,1.0
002042 CH Equity,1.0
002045 CH Equity,1.0
002050 CH Equity,-1.0
002053 CH Equity,1.0
002056 CH Equity,1.0
002061 CH Equity,-1.0
002067 CH Equity,-1.0
002074 CH Equity,1.0
002075 CH Equity,1.0
002078 CH Equity,1.0
002085 CH Equity,1.0
002099 CH Equity,-1.0
002103 CH Equity,-1.0
002120 CH Equity,1.0
002135 CH Equity,-1.0
002152 CH Equity,1.0
002154 CH Equity,-1.0
002158 CH Equity,1.0
002159 CH Equity,-1.0
002165 CH Equity,-1.0
002166 CH Equity,-1.0
002169 CH Equity,1.0
002182 CH Equity,1.0
002183 CH Equity,-1.0
002185 CH Equity,1.0
002186 CH Equity,-1.0
002192 CH Equity,1.0
002198 CH Equity,-1.0
002205 CH Equity,-1.0
002217 CH Equity,-1.0
002235 CH Equity,1.0
002240 CH Equity,1.0
002248 CH Equity,-1.0
002250 CH Equity,-1.0
002276 CH Equity,-1.0
002283 CH Equity,1.0
002288 CH Equity,-1.0
002292 CH Equity,1.0
002293 CH Equity,1.0
002301 CH Equity,1.0
002311 CH Equity,1.0
002315 CH Equity,-1.0
002335 CH Equity,-1.0
002372 CH Equity,-1.0
002375 CH Equity,-1.0
002380 CH Equity,1.0
002382 CH Equity,-1.0
002385 CH Equity,-1.0
002387 CH Equity,1.0
002389 CH Equity,1.0
002396 CH Equity,-1.0
002400 CH Equity,-1.0
002413 CH Equity,1.0
002436 CH Equity,-1.0
002446 CH Equity,-1.0
002456 CH Equity,-1.0
002461 CH Equity,1.0
002463 CH Equity,1.0
002466 CH Equity,-1.0
002468 CH Equity,1.0
002472 CH Equity,-1.0
002475 CH Equity,-1.0
002493 CH Equity,-1.0
002497 CH Equity,-1.0
002507 CH Equity,-1.0
002517 CH Equity,1.0
002518 CH Equity,1.0
002521 CH Equity,1.0
002527 CH Equity,-1.0
002531 CH Equity,-1.0
002537 CH Equity,1.0
002556 CH Equity,1.0
002558 CH Equity,1.0
002563 CH Equity,1.0
002576 CH Equity,1.0
002587 CH Equity,1.0
002591 CH Equity,-1.0
002609 CH Equity,-1.0
002613 CH Equity,-1.0
002663 CH Equity,-1.0
002679 CH Equity,-1.0
002686 CH Equity,-1.0
002688 CH Equity,1.0
002698 CH Equity,-1.0
002699 CH Equity,-1.0
002709 CH Equity,1.0
002713 CH Equity,-1.0
002735 CH Equity,1.0
002737 CH Equity,1.0
002738 CH Equity,-1.0
002747 CH Equity,1.0
002758 CH Equity,1.0
002761 CH Equity,-1.0
002766 CH Equity,1.0
002773 CH Equity,1.0
002780 CH Equity,-1.0
002791 CH Equity,-1.0
002793 CH Equity,1.0
002797 CH Equity,1.0
002798 CH Equity,1.0
002810 CH Equity,1.0
002838 CH Equity,1.0
002841 CH Equity,1.0
002845 CH Equity,1.0
002847 CH Equity,1.0
002848 CH Equity,-1.0
002851 CH Equity,1.0
002859 CH Equity,-1.0
002891 CH Equity,-1.0
002897 CH Equity,-1.0
002901 CH Equity,1.0
002903 CH Equity,-1.0
002920 CH Equity,-1.0
002923 CH Equity,-1.0
002927 CH Equity,1.0
002937 CH Equity,-1.0
002946 CH Equity,-1.0
002947 CH Equity,1.0
002948 CH Equity,1.0
002956 CH Equity,1.0
002962 CH Equity,1.0
002982 CH Equity,1.0
002993 CH Equity,1.0
002997 CH Equity,-1.0
003013 CH Equity,-1.0
003026 CH Equity,-1.0
003035 CH Equity,1.0
003039 CH Equity,-1.0
300012 CH Equity,-1.0
300014 CH Equity,1.0
300024 CH Equity,1.0
300033 CH Equity,-1.0
300034 CH Equity,-1.0
300035 CH Equity,-1.0
300036 CH Equity,1.0
300042 CH Equity,-1.0
300043 CH Equity,1.0
300046 CH Equity,1.0
300051 CH Equity,1.0
300063 CH Equity,-1.0
300073 CH Equity,1.0
300088 CH Equity,1.0
300094 CH Equity,-1.0
300098 CH Equity,1.0
300115 CH Equity,1.0
300122 CH Equity,1.0
300123 CH Equity,1.0
300131 CH Equity,1.0
300136 CH Equity,1.0
300161 CH Equity,-1.0
300164 CH Equity,1.0
300182 CH Equity,1.0
300185 CH Equity,1.0
300198 CH Equity,-1.0
300213 CH Equity,-1.0
300215 CH Equity,-1.0
300244 CH Equity,1.0
300255 CH Equity,1.0
300258 CH Equity,-1.0
300259 CH Equity,1.0
300274 CH Equity,1.0
300284 CH Equity,-1.0
300285 CH Equity,1.0
300303 CH Equity,1.0
300307 CH Equity,-1.0
