,174
000017 CH Equity,1.0
000026 CH Equity,1.0
000031 CH Equity,1.0
000034 CH Equity,1.0
000039 CH Equity,1.0
000042 CH Equity,-1.0
000050 CH Equity,1.0
000056 CH Equity,-1.0
000059 CH Equity,1.0
000063 CH Equity,1.0
000065 CH Equity,1.0
000069 CH Equity,1.0
000088 CH Equity,1.0
000099 CH Equity,1.0
000100 CH Equity,-1.0
000156 CH Equity,1.0
000157 CH Equity,1.0
000333 CH Equity,1.0
000402 CH Equity,-1.0
000417 CH Equity,1.0
000426 CH Equity,1.0
000498 CH Equity,1.0
000517 CH Equity,-1.0
000519 CH Equity,1.0
000525 CH Equity,-1.0
000529 CH Equity,-1.0
000538 CH Equity,1.0
000539 CH Equity,1.0
000541 CH Equity,1.0
000546 CH Equity,1.0
000558 CH Equity,-1.0
000560 CH Equity,-1.0
000567 CH Equity,1.0
000581 CH Equity,-1.0
000591 CH Equity,-1.0
000595 CH Equity,1.0
000596 CH Equity,1.0
000598 CH Equity,1.0
000600 CH Equity,-1.0
000609 CH Equity,-1.0
000625 CH Equity,-1.0
000650 CH Equity,1.0
000666 CH Equity,1.0
000676 CH Equity,1.0
000710 CH Equity,1.0
000712 CH Equity,1.0
000725 CH Equity,1.0
000733 CH Equity,1.0
000739 CH Equity,-1.0
000750 CH Equity,1.0
000766 CH Equity,-1.0
000768 CH Equity,-1.0
000776 CH Equity,1.0
000778 CH Equity,1.0
000783 CH Equity,-1.0
000785 CH Equity,1.0
000786 CH Equity,1.0
000792 CH Equity,-1.0
000801 CH Equity,1.0
000807 CH Equity,1.0
000821 CH Equity,1.0
000833 CH Equity,-1.0
000851 CH Equity,-1.0
000860 CH Equity,1.0
000875 CH Equity,-1.0
000877 CH Equity,1.0
000895 CH Equity,-1.0
000898 CH Equity,1.0
000901 CH Equity,1.0
000902 CH Equity,1.0
000903 CH Equity,-1.0
000909 CH Equity,-1.0
000918 CH Equity,1.0
000926 CH Equity,-1.0
000933 CH Equity,1.0
000948 CH Equity,1.0
000951 CH Equity,1.0
000965 CH Equity,-1.0
000968 CH Equity,1.0
000977 CH Equity,1.0
000988 CH Equity,1.0
001203 CH Equity,-1.0
001205 CH Equity,1.0
001289 CH Equity,1.0
001914 CH Equity,1.0
001979 CH Equity,1.0
002003 CH Equity,-1.0
002013 CH Equity,1.0
002015 CH Equity,-1.0
002024 CH Equity,1.0
002025 CH Equity,1.0
002027 CH Equity,1.0
002030 CH Equity,-1.0
002044 CH Equity,1.0
002051 CH Equity,1.0
002053 CH Equity,-1.0
002062 CH Equity,1.0
002065 CH Equity,1.0
002091 CH Equity,-1.0
002092 CH Equity,-1.0
002100 CH Equity,-1.0
002105 CH Equity,1.0
002106 CH Equity,1.0
002120 CH Equity,1.0
002121 CH Equity,1.0
002127 CH Equity,1.0
002135 CH Equity,-1.0
002137 CH Equity,1.0
002140 CH Equity,-1.0
002151 CH Equity,1.0
002153 CH Equity,1.0
002162 CH Equity,-1.0
002171 CH Equity,-1.0
002179 CH Equity,1.0
002185 CH Equity,1.0
002191 CH Equity,1.0
002192 CH Equity,-1.0
002194 CH Equity,1.0
002204 CH Equity,-1.0
002212 CH Equity,1.0
002222 CH Equity,1.0
002230 CH Equity,1.0
002232 CH Equity,1.0
002236 CH Equity,1.0
002240 CH Equity,-1.0
002241 CH Equity,-1.0
002243 CH Equity,1.0
002249 CH Equity,-1.0
002265 CH Equity,1.0
002270 CH Equity,-1.0
002275 CH Equity,1.0
002285 CH Equity,-1.0
002297 CH Equity,1.0
002299 CH Equity,-1.0
002305 CH Equity,-1.0
002309 CH Equity,-1.0
002312 CH Equity,1.0
002318 CH Equity,1.0
002340 CH Equity,-1.0
002352 CH Equity,1.0
002372 CH Equity,1.0
002373 CH Equity,-1.0
002375 CH Equity,1.0
002382 CH Equity,-1.0
002383 CH Equity,-1.0
002384 CH Equity,1.0
002386 CH Equity,1.0
002402 CH Equity,1.0
002405 CH Equity,1.0
002407 CH Equity,-1.0
002410 CH Equity,1.0
002414 CH Equity,1.0
002415 CH Equity,1.0
002418 CH Equity,1.0
002419 CH Equity,1.0
002421 CH Equity,1.0
002422 CH Equity,1.0
002424 CH Equity,-1.0
002438 CH Equity,-1.0
002443 CH Equity,1.0
002456 CH Equity,1.0
002457 CH Equity,1.0
002466 CH Equity,-1.0
002486 CH Equity,-1.0
002487 CH Equity,-1.0
002488 CH Equity,-1.0
002489 CH Equity,1.0
002496 CH Equity,-1.0
002497 CH Equity,-1.0
002500 CH Equity,1.0
002508 CH Equity,-1.0
002511 CH Equity,1.0
002518 CH Equity,-1.0
002531 CH Equity,-1.0
002539 CH Equity,-1.0
002541 CH Equity,-1.0
002555 CH Equity,-1.0
002559 CH Equity,1.0
002561 CH Equity,-1.0
002570 CH Equity,1.0
002579 CH Equity,1.0
002594 CH Equity,-1.0
002600 CH Equity,1.0
