,16
600690 CH Equity,1.0
600694 CH Equity,1.0
600733 CH Equity,1.0
600741 CH Equity,1.0
600742 CH Equity,1.0
600777 CH Equity,1.0
600795 CH Equity,1.0
600803 CH Equity,1.0
600845 CH Equity,1.0
600884 CH Equity,1.0
600926 CH Equity,1.0
600935 CH Equity,1.0
600938 CH Equity,1.0
600941 CH Equity,1.0
600970 CH Equity,1.0
600998 CH Equity,1.0
601012 CH Equity,1.0
601018 CH Equity,1.0
601108 CH Equity,1.0
601117 CH Equity,1.0
601168 CH Equity,1.0
601187 CH Equity,1.0
601211 CH Equity,1.0
601212 CH Equity,1.0
601229 CH Equity,1.0
601233 CH Equity,1.0
601238 CH Equity,1.0
601311 CH Equity,1.0
601318 CH Equity,1.0
601336 CH Equity,1.0
601339 CH Equity,1.0
601375 CH Equity,1.0
601398 CH Equity,1.0
601601 CH Equity,1.0
601728 CH Equity,1.0
601800 CH Equity,1.0
601801 CH Equity,1.0
601808 CH Equity,1.0
601828 CH Equity,1.0
601865 CH Equity,1.0
601877 CH Equity,1.0
601878 CH Equity,1.0
601881 CH Equity,1.0
601919 CH Equity,1.0
601963 CH Equity,1.0
603008 CH Equity,1.0
603018 CH Equity,1.0
603026 CH Equity,1.0
603040 CH Equity,1.0
603066 CH Equity,1.0
603076 CH Equity,1.0
603108 CH Equity,1.0
603129 CH Equity,1.0
603156 CH Equity,1.0
603185 CH Equity,1.0
603218 CH Equity,1.0
603226 CH Equity,1.0
603236 CH Equity,1.0
603260 CH Equity,1.0
603357 CH Equity,1.0
603392 CH Equity,1.0
603466 CH Equity,1.0
603517 CH Equity,1.0
603588 CH Equity,1.0
603601 CH Equity,1.0
603713 CH Equity,1.0
603719 CH Equity,1.0
603738 CH Equity,1.0
603777 CH Equity,1.0
603799 CH Equity,1.0
603833 CH Equity,1.0
603869 CH Equity,1.0
603871 CH Equity,1.0
603876 CH Equity,1.0
603986 CH Equity,1.0
603989 CH Equity,1.0
603993 CH Equity,1.0
603998 CH Equity,1.0
605108 CH Equity,1.0
605339 CH Equity,1.0
