,18
000001 CH Equity,-1.0
000027 CH Equity,1.0
000031 CH Equity,1.0
000034 CH Equity,-1.0
000037 CH Equity,-1.0
000042 CH Equity,1.0
000049 CH Equity,-1.0
000059 CH Equity,1.0
000063 CH Equity,1.0
000068 CH Equity,-1.0
000069 CH Equity,1.0
000088 CH Equity,-1.0
000157 CH Equity,-1.0
000301 CH Equity,-1.0
000333 CH Equity,1.0
000338 CH Equity,1.0
000402 CH Equity,1.0
000404 CH Equity,1.0
000423 CH Equity,-1.0
000488 CH Equity,-1.0
000498 CH Equity,1.0
000501 CH Equity,-1.0
000514 CH Equity,-1.0
000517 CH Equity,1.0
000526 CH Equity,1.0
000528 CH Equity,-1.0
000538 CH Equity,-1.0
000541 CH Equity,1.0
000558 CH Equity,1.0
000559 CH Equity,-1.0
000560 CH Equity,1.0
000568 CH Equity,1.0
000572 CH Equity,1.0
000581 CH Equity,1.0
000582 CH Equity,-1.0
000592 CH Equity,1.0
000600 CH Equity,1.0
000625 CH Equity,1.0
000651 CH Equity,1.0
000667 CH Equity,1.0
000682 CH Equity,1.0
000713 CH Equity,-1.0
000715 CH Equity,-1.0
000723 CH Equity,1.0
000725 CH Equity,-1.0
000729 CH Equity,1.0
000733 CH Equity,-1.0
000738 CH Equity,-1.0
000739 CH Equity,-1.0
000756 CH Equity,-1.0
000759 CH Equity,1.0
000762 CH Equity,1.0
000766 CH Equity,1.0
000768 CH Equity,1.0
000776 CH Equity,-1.0
000779 CH Equity,-1.0
000785 CH Equity,-1.0
000797 CH Equity,1.0
000830 CH Equity,-1.0
000831 CH Equity,1.0
000838 CH Equity,-1.0
000862 CH Equity,-1.0
000887 CH Equity,-1.0
000898 CH Equity,1.0
000909 CH Equity,1.0
000913 CH Equity,-1.0
000931 CH Equity,1.0
000932 CH Equity,-1.0
000951 CH Equity,1.0
000953 CH Equity,-1.0
000963 CH Equity,1.0
000968 CH Equity,-1.0
000970 CH Equity,1.0
000980 CH Equity,1.0
000985 CH Equity,1.0
000987 CH Equity,-1.0
000988 CH Equity,-1.0
000990 CH Equity,1.0
000993 CH Equity,-1.0
000997 CH Equity,1.0
001205 CH Equity,1.0
002001 CH Equity,1.0
002003 CH Equity,-1.0
002004 CH Equity,1.0
002007 CH Equity,-1.0
002008 CH Equity,1.0
002016 CH Equity,-1.0
002020 CH Equity,-1.0
002024 CH Equity,1.0
002035 CH Equity,1.0
002037 CH Equity,-1.0
002041 CH Equity,-1.0
002044 CH Equity,1.0
002047 CH Equity,-1.0
002050 CH Equity,1.0
002053 CH Equity,-1.0
002056 CH Equity,1.0
002061 CH Equity,1.0
002080 CH Equity,1.0
002082 CH Equity,1.0
002085 CH Equity,-1.0
002091 CH Equity,1.0
002093 CH Equity,-1.0
002100 CH Equity,1.0
002107 CH Equity,1.0
002124 CH Equity,1.0
002126 CH Equity,-1.0
002145 CH Equity,-1.0
002150 CH Equity,1.0
002152 CH Equity,-1.0
002157 CH Equity,1.0
002176 CH Equity,1.0
002180 CH Equity,-1.0
002182 CH Equity,-1.0
002186 CH Equity,-1.0
002189 CH Equity,-1.0
002192 CH Equity,-1.0
002197 CH Equity,-1.0
002203 CH Equity,1.0
002204 CH Equity,1.0
002216 CH Equity,1.0
002229 CH Equity,-1.0
002230 CH Equity,1.0
002240 CH Equity,1.0
002242 CH Equity,-1.0
002243 CH Equity,-1.0
002244 CH Equity,-1.0
002249 CH Equity,1.0
002258 CH Equity,-1.0
002293 CH Equity,1.0
002306 CH Equity,-1.0
002313 CH Equity,1.0
002314 CH Equity,1.0
002320 CH Equity,1.0
002322 CH Equity,1.0
002333 CH Equity,1.0
002349 CH Equity,-1.0
002352 CH Equity,-1.0
002354 CH Equity,-1.0
002367 CH Equity,-1.0
002368 CH Equity,-1.0
002373 CH Equity,1.0
002377 CH Equity,-1.0
002382 CH Equity,1.0
002386 CH Equity,-1.0
002405 CH Equity,1.0
002407 CH Equity,1.0
002409 CH Equity,-1.0
002424 CH Equity,1.0
002432 CH Equity,1.0
002456 CH Equity,1.0
002459 CH Equity,1.0
002460 CH Equity,1.0
002463 CH Equity,-1.0
002466 CH Equity,1.0
002468 CH Equity,1.0
002475 CH Equity,1.0
002476 CH Equity,1.0
002486 CH Equity,1.0
002487 CH Equity,1.0
002489 CH Equity,-1.0
002493 CH Equity,-1.0
002497 CH Equity,1.0
002517 CH Equity,-1.0
002531 CH Equity,-1.0
002533 CH Equity,-1.0
002555 CH Equity,1.0
002565 CH Equity,1.0
002567 CH Equity,1.0
002579 CH Equity,-1.0
002589 CH Equity,1.0
002590 CH Equity,-1.0
002594 CH Equity,1.0
002599 CH Equity,-1.0
002607 CH Equity,1.0
002608 CH Equity,1.0
002613 CH Equity,-1.0
002620 CH Equity,1.0
002625 CH Equity,1.0
002629 CH Equity,-1.0
002643 CH Equity,-1.0
002644 CH Equity,1.0
002657 CH Equity,-1.0
002675 CH Equity,1.0
002682 CH Equity,1.0
002708 CH Equity,-1.0
002714 CH Equity,-1.0
002715 CH Equity,-1.0
002718 CH Equity,1.0
002722 CH Equity,1.0
002733 CH Equity,1.0
002747 CH Equity,1.0
002766 CH Equity,1.0
002791 CH Equity,1.0
002802 CH Equity,1.0
002811 CH Equity,-1.0
002815 CH Equity,-1.0
002821 CH Equity,-1.0
002850 CH Equity,1.0
002867 CH Equity,-1.0
002881 CH Equity,1.0
002884 CH Equity,1.0
002907 CH Equity,-1.0
002916 CH Equity,1.0
002920 CH Equity,1.0
002932 CH Equity,1.0
002948 CH Equity,-1.0
002962 CH Equity,-1.0
002985 CH Equity,-1.0
003006 CH Equity,-1.0
003012 CH Equity,1.0
003032 CH Equity,1.0
003035 CH Equity,1.0
003040 CH Equity,-1.0
300001 CH Equity,1.0
300003 CH Equity,1.0
300005 CH Equity,1.0
300007 CH Equity,1.0
300022 CH Equity,-1.0
300025 CH Equity,1.0
300033 CH Equity,-1.0
300035 CH Equity,1.0
300047 CH Equity,-1.0
300054 CH Equity,-1.0
300062 CH Equity,-1.0
300075 CH Equity,-1.0
