,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
000558 CH Equity,2022-05-26,SELL,莱茵体育,-96018,0,0,2.82,6.7693,40000,0,0,Quant,Pattern 95,CN
000560 CH Equity,2022-05-26,SELL,我爱我家,-91787,0,0,2.95,6.7693,40000,0,0,Quant,Pattern 95,CN
000567 CH Equity,2022-05-26,BUY,海德股份,13993,0,0,19.35,6.7693,40000,0,0,Quant,Pattern 95,CN
000581 CH Equity,2022-05-26,SELL,威孚高科,-12974,0,0,20.87,6.7693,40000,0,0,Quant,Pattern 95,CN
000591 CH Equity,2022-05-26,SELL,太阳能,-36345,0,0,7.45,6.7693,40000,0,0,Quant,Pattern 95,CN
000595 CH Equity,2022-05-26,BUY,宝塔实业,60711,0,0,4.46,6.7693,40000,0,0,Quant,Pattern 95,CN
000596 CH Equity,2022-05-26,BUY,古井贡酒,1361,0,0,198.88,6.7693,40000,0,0,Quant,Pattern 95,CN
000598 CH Equity,2022-05-26,BUY,兴蓉环境,52988,0,0,5.11,6.7693,40000,0,0,Quant,Pattern 95,CN
000600 CH Equity,2022-05-26,SELL,建投能源,-62103,0,0,4.36,6.7693,40000,0,0,Quant,Pattern 95,CN
000609 CH Equity,2022-05-26,SELL,中迪投资,-53092,0,0,5.1,6.7693,40000,0,0,Quant,Pattern 95,CN
000017 CH Equity,2022-05-26,BUY,深中华,83571,0,0,3.24,6.7693,40000,0,0,Quant,Pattern 95,CN
000026 CH Equity,2022-05-26,BUY,飞亚达,30186,0,0,8.97,6.7693,40000,0,0,Quant,Pattern 95,CN
000031 CH Equity,2022-05-26,BUY,大悦城,71443,0,0,3.79,6.7693,40000,0,0,Quant,Pattern 95,CN
000034 CH Equity,2022-05-26,BUY,神州数码,18051,0,0,15.0,6.7693,40000,0,0,Quant,Pattern 95,CN
000039 CH Equity,2022-05-26,BUY,中集集团,20267,0,0,13.36,6.7693,40000,0,0,Quant,Pattern 95,CN
000042 CH Equity,2022-05-26,SELL,中洲控股,-28622,0,0,9.46,6.7693,40000,0,0,Quant,Pattern 95,CN
000050 CH Equity,2022-05-26,BUY,深天马,29755,0,0,9.1,6.7693,40000,0,0,Quant,Pattern 95,CN
000056 CH Equity,2022-05-26,SELL,皇庭国际,-50706,0,0,5.34,6.7693,40000,0,0,Quant,Pattern 95,CN
000059 CH Equity,2022-05-26,BUY,华锦股份,44027,0,0,6.15,6.7693,40000,0,0,Quant,Pattern 95,CN
