,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
600168 CH Equity,2022-05-02,SELL,武汉控股,-109656,0,0,6.09,6.6781,100000,0,0,Quant,Pattern 95,CN
600673 CH Equity,2022-05-02,BUY,东阳光,106001,0,0,6.3,6.6781,100000,0,0,Quant,Pattern 95,CN
600690 CH Equity,2022-05-02,BUY,海尔智家,25774,0,0,25.91,6.6781,100000,0,0,Quant,Pattern 95,CN
600694 CH Equity,2022-05-02,BUY,大商股份,32183,0,0,20.75,6.6781,100000,0,0,Quant,Pattern 95,CN
600722 CH Equity,2022-05-02,SELL,金牛化工,-130431,0,0,5.12,6.6781,100000,0,0,Quant,Pattern 95,CN
600733 CH Equity,2022-05-02,BUY,北汽蓝谷,105332,0,0,6.34,6.6781,100000,0,0,Quant,Pattern 95,CN
600742 CH Equity,2022-05-02,BUY,一汽富维,80946,0,0,8.25,6.6781,100000,0,0,Quant,Pattern 95,CN
600795 CH Equity,2022-05-02,BUY,国电电力,221129,0,0,3.02,6.6781,100000,0,0,Quant,Pattern 95,CN
600802 CH Equity,2022-05-02,BUY,福建水泥,103216,0,0,6.47,6.6781,100000,0,0,Quant,Pattern 95,CN
600804 CH Equity,2022-05-02,SELL,鹏博士,-149398,0,0,4.47,6.6781,100000,0,0,Quant,Pattern 95,CN
600845 CH Equity,2022-05-02,SELL,宝信软件,-14032,0,0,47.59,6.6781,100000,0,0,Quant,Pattern 95,CN
002170 CH Equity,2022-05-02,BUY,芭田股份,130431,0,0,5.12,6.6781,100000,0,0,Quant,Pattern 95,CN
002181 CH Equity,2022-05-02,BUY,粤 传 媒,187587,0,0,3.56,6.6781,100000,0,0,Quant,Pattern 95,CN
002191 CH Equity,2022-05-02,BUY,劲嘉股份,76147,0,0,8.77,6.6781,100000,0,0,Quant,Pattern 95,CN
002202 CH Equity,2022-05-02,BUY,金风科技,59150,0,0,11.29,6.6781,100000,0,0,Quant,Pattern 95,CN
002214 CH Equity,2022-05-02,BUY,大立科技,62764,0,0,10.64,6.6781,100000,0,0,Quant,Pattern 95,CN
002256 CH Equity,2022-05-02,SELL,兆新股份,-277099,0,0,2.41,6.6781,100000,0,0,Quant,Pattern 95,CN
002267 CH Equity,2022-05-02,BUY,陕天然气,95537,0,0,6.99,6.6781,100000,0,0,Quant,Pattern 95,CN
002271 CH Equity,2022-05-02,SELL,东方雨虹,-14725,0,0,45.35,6.6781,100000,0,0,Quant,Pattern 95,CN
002277 CH Equity,2022-05-02,BUY,友阿股份,196994,0,0,3.39,6.6781,100000,0,0,Quant,Pattern 95,CN
002287 CH Equity,2022-05-02,BUY,奇正藏药,27235,0,0,24.52,6.6781,100000,0,0,Quant,Pattern 95,CN
688595 CH Equity,2022-05-02,SELL,芯海科技,-11303,0,0,59.08,6.6781,100000,0,0,Quant,Pattern 95,CN
688596 CH Equity,2022-05-02,SELL,正帆科技,-42863,0,0,15.58,6.6781,100000,0,0,Quant,Pattern 95,CN
688599 CH Equity,2022-05-02,SELL,天合光能,-13145,0,0,50.8,6.6781,100000,0,0,Quant,Pattern 95,CN
