,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
002937 CH Equity,2022-05-08,BUY,兴瑞科技,52814,0,0,12.72,6.718,100000,0,0,Quant,Pattern 95,CN
002993 CH Equity,2022-05-08,SELL,奥海科技,-21811,0,0,30.8,6.718,100000,0,0,Quant,Pattern 95,CN
300014 CH Equity,2022-05-08,BUY,亿纬锂能,10462,0,0,64.21,6.718,100000,0,0,Quant,Pattern 95,CN
300035 CH Equity,2022-05-08,BUY,中科电气,25928,0,0,25.91,6.718,100000,0,0,Quant,Pattern 95,CN
300059 CH Equity,2022-05-08,SELL,东方财富,-31202,0,0,21.53,6.718,100000,0,0,Quant,Pattern 95,CN
300073 CH Equity,2022-05-08,BUY,当升科技,10100,0,0,66.51,6.718,100000,0,0,Quant,Pattern 95,CN
300100 CH Equity,2022-05-08,SELL,双林股份,-78116,0,0,8.6,6.718,100000,0,0,Quant,Pattern 95,CN
300124 CH Equity,2022-05-08,BUY,汇川技术,12037,0,0,55.81,6.718,100000,0,0,Quant,Pattern 95,CN
300196 CH Equity,2022-05-08,BUY,长海股份,38990,0,0,17.23,6.718,100000,0,0,Quant,Pattern 95,CN
300199 CH Equity,2022-05-08,BUY,翰宇药业,47011,0,0,14.29,6.718,100000,0,0,Quant,Pattern 95,CN
603588 CH Equity,2022-05-08,BUY,高能环境,46395,0,0,14.48,6.718,100000,0,0,Quant,Pattern 95,CN
603605 CH Equity,2022-05-08,SELL,珀莱雅,-3508,0,0,191.49,6.718,100000,0,0,Quant,Pattern 95,CN
603696 CH Equity,2022-05-08,SELL,安记食品,-71773,0,0,9.36,6.718,100000,0,0,Quant,Pattern 95,CN
603778 CH Equity,2022-05-08,SELL,乾景园林,-152681,0,0,4.4,6.718,100000,0,0,Quant,Pattern 95,CN
603786 CH Equity,2022-05-08,BUY,科博达,16968,0,0,39.59,6.718,100000,0,0,Quant,Pattern 95,CN
603833 CH Equity,2022-05-08,BUY,欧派家居,5816,0,0,115.5,6.718,100000,0,0,Quant,Pattern 95,CN
603882 CH Equity,2022-05-08,BUY,金域医学,7530,0,0,89.21,6.718,100000,0,0,Quant,Pattern 95,CN
605080 CH Equity,2022-05-08,BUY,浙大自然,9724,0,0,69.08,6.718,100000,0,0,Quant,Pattern 95,CN
605266 CH Equity,2022-05-08,BUY,健之佳,12241,0,0,54.88,6.718,100000,0,0,Quant,Pattern 95,CN
688012 CH Equity,2022-05-08,BUY,中微公司,6464,0,0,103.92,6.718,100000,0,0,Quant,Pattern 95,CN
688331 CH Equity,2022-05-08,BUY,荣昌生物,22742,0,0,29.54,6.718,100000,0,0,Quant,Pattern 95,CN
688363 CH Equity,2022-05-08,SELL,华熙生物,-5225,0,0,128.55,6.718,100000,0,0,Quant,Pattern 95,CN
688520 CH Equity,2022-05-08,BUY,神州细胞,14800,0,0,45.39,6.718,100000,0,0,Quant,Pattern 95,CN
688536 CH Equity,2022-05-08,SELL,思瑞浦,-1500,0,0,447.7,6.718,100000,0,0,Quant,Pattern 95,CN
688566 CH Equity,2022-05-08,BUY,吉贝尔,39401,0,0,17.05,6.718,100000,0,0,Quant,Pattern 95,CN
688596 CH Equity,2022-05-08,BUY,正帆科技,41935,0,0,16.02,6.718,100000,0,0,Quant,Pattern 95,CN
688599 CH Equity,2022-05-08,BUY,天合光能,13255,0,0,50.68,6.718,100000,0,0,Quant,Pattern 95,CN
688611 CH Equity,2022-05-08,SELL,杭州柯林,-13390,0,0,50.17,6.718,100000,0,0,Quant,Pattern 95,CN
600755 CH Equity,2022-05-08,BUY,厦门国贸,92918,0,0,7.23,6.718,100000,0,0,Quant,Pattern 95,CN
600845 CH Equity,2022-05-08,BUY,宝信软件,13860,0,0,48.47,6.718,100000,0,0,Quant,Pattern 95,CN
600885 CH Equity,2022-05-08,BUY,宏发股份,14472,0,0,46.42,6.718,100000,0,0,Quant,Pattern 95,CN
600900 CH Equity,2022-05-08,SELL,长江电力,-29568,0,0,22.72,6.718,100000,0,0,Quant,Pattern 95,CN
600926 CH Equity,2022-05-08,BUY,杭州银行,45330,0,0,14.82,6.718,100000,0,0,Quant,Pattern 95,CN
600941 CH Equity,2022-05-08,BUY,中国移动,10498,0,0,63.99,6.718,100000,0,0,Quant,Pattern 95,CN
601012 CH Equity,2022-05-08,BUY,隆基股份,10022,0,0,67.03,6.718,100000,0,0,Quant,Pattern 95,CN
601088 CH Equity,2022-05-08,BUY,中国神华,22215,0,0,30.24,6.718,100000,0,0,Quant,Pattern 95,CN
601225 CH Equity,2022-05-08,BUY,陕西煤业,39988,0,0,16.8,6.718,100000,0,0,Quant,Pattern 95,CN
601238 CH Equity,2022-05-08,BUY,广汽集团,54662,0,0,12.29,6.718,100000,0,0,Quant,Pattern 95,CN
601318 CH Equity,2022-05-08,SELL,中国平安,-15247,0,0,44.06,6.718,100000,0,0,Quant,Pattern 95,CN
601398 CH Equity,2022-05-08,BUY,工商银行,141729,0,0,4.74,6.718,100000,0,0,Quant,Pattern 95,CN
601579 CH Equity,2022-05-08,SELL,会稽山,-47143,0,0,14.25,6.718,100000,0,0,Quant,Pattern 95,CN
601601 CH Equity,2022-05-08,SELL,中国太保,-33489,0,0,20.06,6.718,100000,0,0,Quant,Pattern 95,CN
601666 CH Equity,2022-05-08,BUY,平煤股份,47443,0,0,14.16,6.718,100000,0,0,Quant,Pattern 95,CN
601689 CH Equity,2022-05-08,BUY,拓普集团,12971,0,0,51.79,6.718,100000,0,0,Quant,Pattern 95,CN
601789 CH Equity,2022-05-08,BUY,宁波建工,111409,0,0,6.03,6.718,100000,0,0,Quant,Pattern 95,CN
601857 CH Equity,2022-05-08,BUY,中国石油,126994,0,0,5.29,6.718,100000,0,0,Quant,Pattern 95,CN
601898 CH Equity,2022-05-08,BUY,中煤能源,71316,0,0,9.42,6.718,100000,0,0,Quant,Pattern 95,CN
601939 CH Equity,2022-05-08,BUY,建设银行,111780,0,0,6.01,6.718,100000,0,0,Quant,Pattern 95,CN
688022 CH Equity,2022-05-08,BUY,瀚川智能,16682,0,0,40.27,6.718,100000,0,0,Quant,Pattern 95,CN
688050 CH Equity,2022-05-08,SELL,爱博医疗,-3787,0,0,177.39,6.718,100000,0,0,Quant,Pattern 95,CN
688057 CH Equity,2022-05-08,BUY,金达莱,41316,0,0,16.26,6.718,100000,0,0,Quant,Pattern 95,CN
688068 CH Equity,2022-05-08,SELL,热景生物,-5022,0,0,133.76,6.718,100000,0,0,Quant,Pattern 95,CN
688091 CH Equity,2022-05-08,SELL,上海谊众,-5645,0,0,119.0,6.718,100000,0,0,Quant,Pattern 95,CN
688107 CH Equity,2022-05-08,BUY,安路科技,13544,0,0,49.6,6.718,100000,0,0,Quant,Pattern 95,CN
688117 CH Equity,2022-05-08,BUY,圣诺生物,20494,0,0,32.78,6.718,100000,0,0,Quant,Pattern 95,CN
688150 CH Equity,2022-05-08,BUY,莱特光电,47309,0,0,14.2,6.718,100000,0,0,Quant,Pattern 95,CN
688191 CH Equity,2022-05-08,SELL,智洋创新,-48123,0,0,13.96,6.718,100000,0,0,Quant,Pattern 95,CN
688267 CH Equity,2022-05-08,BUY,中触媒,24148,0,0,27.82,6.718,100000,0,0,Quant,Pattern 95,CN
601985 CH Equity,2022-05-08,BUY,中国核电,95698,0,0,7.02,6.718,100000,0,0,Quant,Pattern 95,CN
603101 CH Equity,2022-05-08,BUY,汇嘉时代,104155,0,0,6.45,6.718,100000,0,0,Quant,Pattern 95,CN
603115 CH Equity,2022-05-08,SELL,海星股份,-33061,0,0,20.32,6.718,100000,0,0,Quant,Pattern 95,CN
603187 CH Equity,2022-05-08,BUY,海容冷链,20475,0,0,32.81,6.718,100000,0,0,Quant,Pattern 95,CN
603208 CH Equity,2022-05-08,SELL,江山欧派,-13774,0,0,48.77,6.718,100000,0,0,Quant,Pattern 95,CN
603298 CH Equity,2022-05-08,SELL,杭叉集团,-47143,0,0,14.25,6.718,100000,0,0,Quant,Pattern 95,CN
603333 CH Equity,2022-05-08,SELL,尚纬股份,-79315,0,0,8.47,6.718,100000,0,0,Quant,Pattern 95,CN
603365 CH Equity,2022-05-08,BUY,水星家纺,41469,0,0,16.2,6.718,100000,0,0,Quant,Pattern 95,CN
603392 CH Equity,2022-05-08,SELL,万泰生物,-4121,0,0,163.0,6.718,100000,0,0,Quant,Pattern 95,CN
603536 CH Equity,2022-05-08,SELL,惠发食品,-74150,0,0,9.06,6.718,100000,0,0,Quant,Pattern 95,CN
600196 CH Equity,2022-05-08,BUY,复星医药,15688,0,0,42.82,6.718,100000,0,0,Quant,Pattern 95,CN
600248 CH Equity,2022-05-08,BUY,陕西建工,128944,0,0,5.21,6.718,100000,0,0,Quant,Pattern 95,CN
600297 CH Equity,2022-05-08,BUY,广汇汽车,312465,0,0,2.15,6.718,100000,0,0,Quant,Pattern 95,CN
600325 CH Equity,2022-05-08,BUY,华发股份,91901,0,0,7.31,6.718,100000,0,0,Quant,Pattern 95,CN
600351 CH Equity,2022-05-08,BUY,亚宝药业,109235,0,0,6.15,6.718,100000,0,0,Quant,Pattern 95,CN
600398 CH Equity,2022-05-08,BUY,海澜之家集团股份有限公司,132766,0,0,5.06,6.718,100000,0,0,Quant,Pattern 95,CN
600519 CH Equity,2022-05-08,BUY,贵州茅台,374,0,0,1793.0,6.718,100000,0,0,Quant,Pattern 95,CN
600520 CH Equity,2022-05-08,BUY,文一科技,89454,0,0,7.51,6.718,100000,0,0,Quant,Pattern 95,CN
600690 CH Equity,2022-05-08,BUY,海尔智家,26293,0,0,25.55,6.718,100000,0,0,Quant,Pattern 95,CN
600722 CH Equity,2022-05-08,BUY,金牛化工,130446,0,0,5.15,6.718,100000,0,0,Quant,Pattern 95,CN
002470 CH Equity,2022-05-08,SELL,ST金正,-248814,0,0,2.7,6.718,100000,0,0,Quant,Pattern 95,CN
002475 CH Equity,2022-05-08,BUY,立讯精密,23022,0,0,29.18,6.718,100000,0,0,Quant,Pattern 95,CN
002489 CH Equity,2022-05-08,SELL,浙江永强,-168370,0,0,3.99,6.718,100000,0,0,Quant,Pattern 95,CN
002556 CH Equity,2022-05-08,BUY,辉隆股份,64410,0,0,10.43,6.718,100000,0,0,Quant,Pattern 95,CN
002643 CH Equity,2022-05-08,BUY,万润股份,36710,0,0,18.3,6.718,100000,0,0,Quant,Pattern 95,CN
002702 CH Equity,2022-05-08,SELL,海欣食品,-128206,0,0,5.24,6.718,100000,0,0,Quant,Pattern 95,CN
002705 CH Equity,2022-05-08,BUY,新宝股份,38742,0,0,17.34,6.718,100000,0,0,Quant,Pattern 95,CN
002841 CH Equity,2022-05-08,SELL,视源股份,-8953,0,0,75.03,6.718,100000,0,0,Quant,Pattern 95,CN
002913 CH Equity,2022-05-08,SELL,奥士康,-11298,0,0,59.46,6.718,100000,0,0,Quant,Pattern 95,CN
002920 CH Equity,2022-05-08,BUY,德赛西威,5552,0,0,121.0,6.718,100000,0,0,Quant,Pattern 95,CN
