,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
601156 CH Equity,2022-05-07,BUY,东航物流,27589,0,0,24.35,6.718,100000,0,0,Quant,Pattern 95,CN
601168 CH Equity,2022-05-07,SELL,西部矿业,-58929,0,0,11.4,6.718,100000,0,0,Quant,Pattern 95,CN
601229 CH Equity,2022-05-07,SELL,上海银行,-105463,0,0,6.37,6.718,100000,0,0,Quant,Pattern 95,CN
601238 CH Equity,2022-05-07,SELL,广汽集团,-54662,0,0,12.29,6.718,100000,0,0,Quant,Pattern 95,CN
601339 CH Equity,2022-05-07,SELL,百隆东方,-119325,0,0,5.63,6.718,100000,0,0,Quant,Pattern 95,CN
601398 CH Equity,2022-05-07,BUY,工商银行,141729,0,0,4.74,6.718,100000,0,0,Quant,Pattern 95,CN
601601 CH Equity,2022-05-07,SELL,中国太保,-33489,0,0,20.06,6.718,100000,0,0,Quant,Pattern 95,CN
601618 CH Equity,2022-05-07,BUY,中国中冶,193602,0,0,3.4699999999999998,6.718,100000,0,0,Quant,Pattern 95,CN
601696 CH Equity,2022-05-07,BUY,中银证券,54484,0,0,12.33,6.718,100000,0,0,Quant,Pattern 95,CN
601727 CH Equity,2022-05-07,BUY,上海电气,179146,0,0,3.75,6.718,100000,0,0,Quant,Pattern 95,CN
600132 CH Equity,2022-05-07,SELL,重庆啤酒,-5998,0,0,112.0,6.718,100000,0,0,Quant,Pattern 95,CN
600157 CH Equity,2022-05-07,SELL,ST永泰,-444900,0,0,1.51,6.718,100000,0,0,Quant,Pattern 95,CN
600165 CH Equity,2022-05-07,BUY,新日恒力,91277,0,0,7.36,6.718,100000,0,0,Quant,Pattern 95,CN
600167 CH Equity,2022-05-07,BUY,联美控股,100568,0,0,6.68,6.718,100000,0,0,Quant,Pattern 95,CN
600186 CH Equity,2022-05-07,BUY,莲花健康,301255,0,0,2.23,6.718,100000,0,0,Quant,Pattern 95,CN
600200 CH Equity,2022-05-07,SELL,江苏吴中,-116228,0,0,5.78,6.718,100000,0,0,Quant,Pattern 95,CN
600230 CH Equity,2022-05-07,SELL,沧州大化,-48157,0,0,13.95,6.718,100000,0,0,Quant,Pattern 95,CN
600233 CH Equity,2022-05-07,SELL,圆通速递,-37363,0,0,17.98,6.718,100000,0,0,Quant,Pattern 95,CN
600237 CH Equity,2022-05-07,SELL,铜峰电子,-112718,0,0,5.96,6.718,100000,0,0,Quant,Pattern 95,CN
600261 CH Equity,2022-05-07,BUY,阳光照明,204817,0,0,3.2800000000000002,6.718,100000,0,0,Quant,Pattern 95,CN
300973 CH Equity,2022-05-07,SELL,立高食品,-9430,0,0,71.24,6.718,100000,0,0,Quant,Pattern 95,CN
301035 CH Equity,2022-05-07,BUY,润丰股份,9212,0,0,72.92,6.718,100000,0,0,Quant,Pattern 95,CN
301066 CH Equity,2022-05-07,SELL,万事利,-33877,0,0,19.83,6.718,100000,0,0,Quant,Pattern 95,CN
301078 CH Equity,2022-05-07,BUY,孩子王,49000,0,0,13.71,6.718,100000,0,0,Quant,Pattern 95,CN
301111 CH Equity,2022-05-07,SELL,粤万年青,-23831,0,0,28.19,6.718,100000,0,0,Quant,Pattern 95,CN
301193 CH Equity,2022-05-07,BUY,家联科技,27012,0,0,24.87,6.718,100000,0,0,Quant,Pattern 95,CN
301235 CH Equity,2022-05-07,BUY,华康医疗,15035,0,0,44.68,6.718,100000,0,0,Quant,Pattern 95,CN
600028 CH Equity,2022-05-07,BUY,中国石化,156962,0,0,4.28,6.718,100000,0,0,Quant,Pattern 95,CN
600029 CH Equity,2022-05-07,SELL,南方航空,-111966,0,0,6.0,6.718,100000,0,0,Quant,Pattern 95,CN
600048 CH Equity,2022-05-07,BUY,保利发展,40988,0,0,16.39,6.718,100000,0,0,Quant,Pattern 95,CN
002841 CH Equity,2022-05-07,SELL,视源股份,-8953,0,0,75.03,6.718,100000,0,0,Quant,Pattern 95,CN
002851 CH Equity,2022-05-07,BUY,麦格米特,35563,0,0,18.89,6.718,100000,0,0,Quant,Pattern 95,CN
002867 CH Equity,2022-05-07,BUY,周大生,50134,0,0,13.4,6.718,100000,0,0,Quant,Pattern 95,CN
002901 CH Equity,2022-05-07,BUY,大博医疗,19706,0,0,34.09,6.718,100000,0,0,Quant,Pattern 95,CN
002918 CH Equity,2022-05-07,SELL,蒙娜丽莎,-50134,0,0,13.4,6.718,100000,0,0,Quant,Pattern 95,CN
002920 CH Equity,2022-05-07,SELL,德赛西威,-5552,0,0,121.0,6.718,100000,0,0,Quant,Pattern 95,CN
002926 CH Equity,2022-05-07,SELL,华西证券,-97362,0,0,6.9,6.718,100000,0,0,Quant,Pattern 95,CN
002936 CH Equity,2022-05-07,BUY,郑州银行,258384,0,0,2.6,6.718,100000,0,0,Quant,Pattern 95,CN
002945 CH Equity,2022-05-07,SELL,华林证券,-49689,0,0,13.52,6.718,100000,0,0,Quant,Pattern 95,CN
002946 CH Equity,2022-05-07,BUY,新乳业,61633,0,0,10.9,6.718,100000,0,0,Quant,Pattern 95,CN
002511 CH Equity,2022-05-07,SELL,中顺洁柔,-64970,0,0,10.34,6.718,100000,0,0,Quant,Pattern 95,CN
002528 CH Equity,2022-05-07,BUY,英飞拓,226959,0,0,2.96,6.718,100000,0,0,Quant,Pattern 95,CN
002538 CH Equity,2022-05-07,BUY,司尔特,84503,0,0,7.95,6.718,100000,0,0,Quant,Pattern 95,CN
002543 CH Equity,2022-05-07,BUY,万和电气,99525,0,0,6.75,6.718,100000,0,0,Quant,Pattern 95,CN
002557 CH Equity,2022-05-07,SELL,洽洽食品,-12199,0,0,55.07,6.718,100000,0,0,Quant,Pattern 95,CN
002594 CH Equity,2022-05-07,SELL,比亚迪,-2775,0,0,242.08,6.718,100000,0,0,Quant,Pattern 95,CN
002597 CH Equity,2022-05-07,SELL,金禾实业,-17107,0,0,39.27,6.718,100000,0,0,Quant,Pattern 95,CN
002603 CH Equity,2022-05-07,SELL,以岭药业,-25350,0,0,26.5,6.718,100000,0,0,Quant,Pattern 95,CN
002611 CH Equity,2022-05-07,BUY,东方精工,174493,0,0,3.85,6.718,100000,0,0,Quant,Pattern 95,CN
002614 CH Equity,2022-05-07,BUY,奥佳华,81628,0,0,8.23,6.718,100000,0,0,Quant,Pattern 95,CN
688278 CH Equity,2022-05-07,BUY,特宝生物,26605,0,0,25.25,6.718,100000,0,0,Quant,Pattern 95,CN
688289 CH Equity,2022-05-07,BUY,圣湘生物,14764,0,0,45.5,6.718,100000,0,0,Quant,Pattern 95,CN
688363 CH Equity,2022-05-07,BUY,华熙生物,5225,0,0,128.55,6.718,100000,0,0,Quant,Pattern 95,CN
688466 CH Equity,2022-05-07,BUY,金科环境,45700,0,0,14.7,6.718,100000,0,0,Quant,Pattern 95,CN
688533 CH Equity,2022-05-07,BUY,上声电子,15983,0,0,42.03,6.718,100000,0,0,Quant,Pattern 95,CN
688588 CH Equity,2022-05-07,BUY,凌志软件,66449,0,0,10.11,6.718,100000,0,0,Quant,Pattern 95,CN
688793 CH Equity,2022-05-07,BUY,倍轻松,14293,0,0,47.0,6.718,100000,0,0,Quant,Pattern 95,CN
603876 CH Equity,2022-05-07,SELL,鼎胜新材,-25208,0,0,26.65,6.718,100000,0,0,Quant,Pattern 95,CN
603919 CH Equity,2022-05-07,BUY,金徽酒,23077,0,0,29.11,6.718,100000,0,0,Quant,Pattern 95,CN
603986 CH Equity,2022-05-07,SELL,兆易创新,-5631,0,0,119.3,6.718,100000,0,0,Quant,Pattern 95,CN
603989 CH Equity,2022-05-07,SELL,艾华集团,-25408,0,0,26.44,6.718,100000,0,0,Quant,Pattern 95,CN
603993 CH Equity,2022-05-07,SELL,洛阳钼业,-147648,0,0,4.55,6.718,100000,0,0,Quant,Pattern 95,CN
603998 CH Equity,2022-05-07,SELL,方盛制药,-110311,0,0,6.09,6.718,100000,0,0,Quant,Pattern 95,CN
605099 CH Equity,2022-05-07,BUY,共创草坪,25602,0,0,26.24,6.718,100000,0,0,Quant,Pattern 95,CN
605108 CH Equity,2022-05-07,SELL,同庆楼,-41139,0,0,16.33,6.718,100000,0,0,Quant,Pattern 95,CN
688016 CH Equity,2022-05-07,BUY,心脉医疗,4022,0,0,167.0,6.718,100000,0,0,Quant,Pattern 95,CN
688234 CH Equity,2022-05-07,BUY,天岳先进,14972,0,0,44.87,6.718,100000,0,0,Quant,Pattern 95,CN
000001 CH Equity,2022-05-07,BUY,平安银行,44906,0,0,14.96,6.718,100000,0,0,Quant,Pattern 95,CN
000036 CH Equity,2022-05-07,SELL,华联控股,-171377,0,0,3.92,6.718,100000,0,0,Quant,Pattern 95,CN
000039 CH Equity,2022-05-07,SELL,中集集团,-52037,0,0,12.91,6.718,100000,0,0,Quant,Pattern 95,CN
000040 CH Equity,2022-05-07,SELL,东旭蓝天,-246080,0,0,2.73,6.718,100000,0,0,Quant,Pattern 95,CN
000151 CH Equity,2022-05-07,BUY,中成股份,92280,0,0,7.28,6.718,100000,0,0,Quant,Pattern 95,CN
000156 CH Equity,2022-05-07,SELL,华数传媒,-93305,0,0,7.2,6.718,100000,0,0,Quant,Pattern 95,CN
000157 CH Equity,2022-05-07,SELL,中联重科,-116027,0,0,5.79,6.718,100000,0,0,Quant,Pattern 95,CN
000301 CH Equity,2022-05-07,SELL,东方盛虹,-54840,0,0,12.25,6.718,100000,0,0,Quant,Pattern 95,CN
000426 CH Equity,2022-05-07,BUY,兴业矿业,108881,0,0,6.17,6.718,100000,0,0,Quant,Pattern 95,CN
000429 CH Equity,2022-05-07,SELL,粤高速,-86238,0,0,7.79,6.718,100000,0,0,Quant,Pattern 95,CN
603279 CH Equity,2022-05-07,BUY,景津装备,18010,0,0,37.3,6.718,100000,0,0,Quant,Pattern 95,CN
603288 CH Equity,2022-05-07,BUY,海天味业,8827,0,0,76.1,6.718,100000,0,0,Quant,Pattern 95,CN
603313 CH Equity,2022-05-07,BUY,梦百合,61860,0,0,10.86,6.718,100000,0,0,Quant,Pattern 95,CN
603338 CH Equity,2022-05-07,BUY,浙江鼎力,15550,0,0,43.2,6.718,100000,0,0,Quant,Pattern 95,CN
603348 CH Equity,2022-05-07,BUY,文灿集团股份有限公司,17952,0,0,37.42,6.718,100000,0,0,Quant,Pattern 95,CN
603357 CH Equity,2022-05-07,SELL,设计总院,-56030,0,0,11.99,6.718,100000,0,0,Quant,Pattern 95,CN
603363 CH Equity,2022-05-07,BUY,傲农生物,37635,0,0,17.85,6.718,100000,0,0,Quant,Pattern 95,CN
603387 CH Equity,2022-05-07,BUY,基蛋生物,34539,0,0,19.45,6.718,100000,0,0,Quant,Pattern 95,CN
603392 CH Equity,2022-05-07,SELL,万泰生物,-4121,0,0,163.0,6.718,100000,0,0,Quant,Pattern 95,CN
603466 CH Equity,2022-05-07,SELL,风语筑,-42066,0,0,15.97,6.718,100000,0,0,Quant,Pattern 95,CN
601998 CH Equity,2022-05-07,BUY,中信银行,144784,0,0,4.64,6.718,100000,0,0,Quant,Pattern 95,CN
