,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
300014 CH Equity,2022-05-11,SELL,亿纬锂能,-9552,0,0,70.63,6.7471,100000,0,0,Quant,Pattern 95,CN
300033 CH Equity,2022-05-11,BUY,同花顺,8394,0,0,80.38,6.7471,100000,0,0,Quant,Pattern 95,CN
300035 CH Equity,2022-05-11,BUY,中科电气,25605,0,0,26.35,6.7471,100000,0,0,Quant,Pattern 95,CN
300037 CH Equity,2022-05-11,BUY,新宙邦,9508,0,0,70.96,6.7471,100000,0,0,Quant,Pattern 95,CN
300039 CH Equity,2022-05-11,SELL,上海凯宝,-98931,0,0,6.82,6.7471,100000,0,0,Quant,Pattern 95,CN
300042 CH Equity,2022-05-11,BUY,朗科科技,53633,0,0,12.58,6.7471,100000,0,0,Quant,Pattern 95,CN
300063 CH Equity,2022-05-11,BUY,天龙集团,156909,0,0,4.3,6.7471,100000,0,0,Quant,Pattern 95,CN
300083 CH Equity,2022-05-11,SELL,创世纪,-68777,0,0,9.81,6.7471,100000,0,0,Quant,Pattern 95,CN
300087 CH Equity,2022-05-11,BUY,荃银高科,41266,0,0,16.35,6.7471,100000,0,0,Quant,Pattern 95,CN
300088 CH Equity,2022-05-11,SELL,长信科技,-111154,0,0,6.07,6.7471,100000,0,0,Quant,Pattern 95,CN
002156 CH Equity,2022-05-11,BUY,通富微电,50691,0,0,13.31,6.7471,100000,0,0,Quant,Pattern 95,CN
002159 CH Equity,2022-05-11,BUY,三特索道,77197,0,0,8.74,6.7471,100000,0,0,Quant,Pattern 95,CN
002165 CH Equity,2022-05-11,BUY,红 宝 丽,162189,0,0,4.16,6.7471,100000,0,0,Quant,Pattern 95,CN
002166 CH Equity,2022-05-11,BUY,莱茵生物,74801,0,0,9.02,6.7471,100000,0,0,Quant,Pattern 95,CN
002170 CH Equity,2022-05-11,BUY,芭田股份,125878,0,0,5.36,6.7471,100000,0,0,Quant,Pattern 95,CN
