,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
002555 CH Equity,2022-05-10,SELL,三七互娱网络科技集团股份有限,-30187,0,0,22.4,6.7619,100000,0,0,Quant,Pattern 95,CN
002561 CH Equity,2022-05-10,SELL,徐家汇,-51775,0,0,13.06,6.7619,100000,0,0,Quant,Pattern 95,CN
002572 CH Equity,2022-05-10,BUY,索菲亚,35815,0,0,18.88,6.7619,100000,0,0,Quant,Pattern 95,CN
002573 CH Equity,2022-05-10,SELL,北京清新环境技术股份有限公司,-120964,0,0,5.59,6.7619,100000,0,0,Quant,Pattern 95,CN
002591 CH Equity,2022-05-10,BUY,恒大高新,122943,0,0,5.5,6.7619,100000,0,0,Quant,Pattern 95,CN
002596 CH Equity,2022-05-10,BUY,海南瑞泽,186792,0,0,3.62,6.7619,100000,0,0,Quant,Pattern 95,CN
002597 CH Equity,2022-05-10,SELL,金禾实业,-17041,0,0,39.68,6.7619,100000,0,0,Quant,Pattern 95,CN
002620 CH Equity,2022-05-10,BUY,瑞和股份,131554,0,0,5.14,6.7619,100000,0,0,Quant,Pattern 95,CN
002637 CH Equity,2022-05-10,SELL,赞宇科技,-43709,0,0,15.47,6.7619,100000,0,0,Quant,Pattern 95,CN
002666 CH Equity,2022-05-10,BUY,德联集团,157620,0,0,4.29,6.7619,100000,0,0,Quant,Pattern 95,CN
600486 CH Equity,2022-05-10,SELL,扬农化工,-4914,0,0,137.6,6.7619,100000,0,0,Quant,Pattern 95,CN
600496 CH Equity,2022-05-10,BUY,精工钢构,154734,0,0,4.37,6.7619,100000,0,0,Quant,Pattern 95,CN
600510 CH Equity,2022-05-10,BUY,黑牡丹,70509,0,0,9.59,6.7619,100000,0,0,Quant,Pattern 95,CN
600519 CH Equity,2022-05-10,BUY,贵州茅台,385,0,0,1752.0,6.7619,100000,0,0,Quant,Pattern 95,CN
600521 CH Equity,2022-05-10,SELL,华海药业,-39086,0,0,17.3,6.7619,100000,0,0,Quant,Pattern 95,CN
600578 CH Equity,2022-05-10,SELL,京能电力,-220977,0,0,3.06,6.7619,100000,0,0,Quant,Pattern 95,CN
600584 CH Equity,2022-05-10,BUY,长电科技,29450,0,0,22.96,6.7619,100000,0,0,Quant,Pattern 95,CN
600587 CH Equity,2022-05-10,BUY,新华医疗,32856,0,0,20.58,6.7619,100000,0,0,Quant,Pattern 95,CN
600639 CH Equity,2022-05-10,BUY,浦东金桥,46219,0,0,14.63,6.7619,100000,0,0,Quant,Pattern 95,CN
600702 CH Equity,2022-05-10,SELL,舍得酒业,-5009,0,0,134.98,6.7619,100000,0,0,Quant,Pattern 95,CN
300788 CH Equity,2022-05-10,SELL,中信出版,-37010,0,0,18.27,6.7619,100000,0,0,Quant,Pattern 95,CN
300791 CH Equity,2022-05-10,SELL,仙乐健康,-28579,0,0,23.66,6.7619,100000,0,0,Quant,Pattern 95,CN
300793 CH Equity,2022-05-10,SELL,佳禾智能,-48024,0,0,14.08,6.7619,100000,0,0,Quant,Pattern 95,CN
300867 CH Equity,2022-05-10,BUY,圣元环保,32540,0,0,20.78,6.7619,100000,0,0,Quant,Pattern 95,CN
300878 CH Equity,2022-05-10,SELL,维康药业,-15274,0,0,44.27,6.7619,100000,0,0,Quant,Pattern 95,CN
300915 CH Equity,2022-05-10,BUY,海融科技,17441,0,0,38.77,6.7619,100000,0,0,Quant,Pattern 95,CN
300916 CH Equity,2022-05-10,BUY,朗特智能,17627,0,0,38.36,6.7619,100000,0,0,Quant,Pattern 95,CN
300919 CH Equity,2022-05-10,SELL,中伟股份,-8452,0,0,80.0,6.7619,100000,0,0,Quant,Pattern 95,CN
300943 CH Equity,2022-05-10,SELL,春晖智控,-33674,0,0,20.08,6.7619,100000,0,0,Quant,Pattern 95,CN
300979 CH Equity,2022-05-10,BUY,中山华利实业集团股份有限公司,9104,0,0,74.27,6.7619,100000,0,0,Quant,Pattern 95,CN
002271 CH Equity,2022-05-10,BUY,东方雨虹,15584,0,0,43.39,6.7619,100000,0,0,Quant,Pattern 95,CN
002294 CH Equity,2022-05-10,BUY,信立泰,29133,0,0,23.21,6.7619,100000,0,0,Quant,Pattern 95,CN
002304 CH Equity,2022-05-10,SELL,洋河股份,-4483,0,0,150.81,6.7619,100000,0,0,Quant,Pattern 95,CN
002312 CH Equity,2022-05-10,SELL,川发龙蟒,-64276,0,0,10.52,6.7619,100000,0,0,Quant,Pattern 95,CN
002332 CH Equity,2022-05-10,SELL,仙琚制药,-72088,0,0,9.38,6.7619,100000,0,0,Quant,Pattern 95,CN
002349 CH Equity,2022-05-10,SELL,精华制药,-38224,0,0,17.69,6.7619,100000,0,0,Quant,Pattern 95,CN
002352 CH Equity,2022-05-10,SELL,顺丰控股,-13561,0,0,49.86,6.7619,100000,0,0,Quant,Pattern 95,CN
002371 CH Equity,2022-05-10,SELL,北方华创,-3215,0,0,210.3,6.7619,100000,0,0,Quant,Pattern 95,CN
002373 CH Equity,2022-05-10,BUY,千方科技,79927,0,0,8.46,6.7619,100000,0,0,Quant,Pattern 95,CN
002378 CH Equity,2022-05-10,SELL,章源钨业,-98426,0,0,6.87,6.7619,100000,0,0,Quant,Pattern 95,CN
000625 CH Equity,2022-05-10,BUY,长安汽车,59419,0,0,11.38,6.7619,100000,0,0,Quant,Pattern 95,CN
000657 CH Equity,2022-05-10,SELL,中钨高新,-68928,0,0,9.81,6.7619,100000,0,0,Quant,Pattern 95,CN
000661 CH Equity,2022-05-10,SELL,长春高新技术产业(集团)股份有,-4443,0,0,152.16,6.7619,100000,0,0,Quant,Pattern 95,CN
000700 CH Equity,2022-05-10,BUY,模塑科技,159855,0,0,4.23,6.7619,100000,0,0,Quant,Pattern 95,CN
000710 CH Equity,2022-05-10,SELL,贝瑞基因,-44574,0,0,15.17,6.7619,100000,0,0,Quant,Pattern 95,CN
000711 CH Equity,2022-05-10,BUY,京蓝科技,234788,0,0,2.88,6.7619,100000,0,0,Quant,Pattern 95,CN
000719 CH Equity,2022-05-10,BUY,中原传媒,98283,0,0,6.88,6.7619,100000,0,0,Quant,Pattern 95,CN
000725 CH Equity,2022-05-10,SELL,京东方,-183747,0,0,3.68,6.7619,100000,0,0,Quant,Pattern 95,CN
000729 CH Equity,2022-05-10,SELL,燕京啤酒,-102453,0,0,6.6,6.7619,100000,0,0,Quant,Pattern 95,CN
000785 CH Equity,2022-05-10,SELL,居然之家,-168625,0,0,4.01,6.7619,100000,0,0,Quant,Pattern 95,CN
601665 CH Equity,2022-05-10,SELL,齐鲁银行,-133108,0,0,5.08,6.7619,100000,0,0,Quant,Pattern 95,CN
601669 CH Equity,2022-05-10,SELL,中国电建,-92249,0,0,7.33,6.7619,100000,0,0,Quant,Pattern 95,CN
601728 CH Equity,2022-05-10,SELL,中国电信,-175633,0,0,3.85,6.7619,100000,0,0,Quant,Pattern 95,CN
601816 CH Equity,2022-05-10,BUY,京沪高铁,152984,0,0,4.42,6.7619,100000,0,0,Quant,Pattern 95,CN
601828 CH Equity,2022-05-10,SELL,美凯龙,-128798,0,0,5.25,6.7619,100000,0,0,Quant,Pattern 95,CN
601857 CH Equity,2022-05-10,SELL,中国石油,-126627,0,0,5.34,6.7619,100000,0,0,Quant,Pattern 95,CN
601868 CH Equity,2022-05-10,SELL,中国能源建设,-290210,0,0,2.33,6.7619,100000,0,0,Quant,Pattern 95,CN
601869 CH Equity,2022-05-10,BUY,长飞光纤,26496,0,0,25.52,6.7619,100000,0,0,Quant,Pattern 95,CN
601878 CH Equity,2022-05-10,SELL,浙商证券,-75891,0,0,8.91,6.7619,100000,0,0,Quant,Pattern 95,CN
601898 CH Equity,2022-05-10,SELL,中煤能源,-73419,0,0,9.21,6.7619,100000,0,0,Quant,Pattern 95,CN
300699 CH Equity,2022-05-10,BUY,光威复材,13266,0,0,50.97,6.7619,100000,0,0,Quant,Pattern 95,CN
300702 CH Equity,2022-05-10,SELL,天宇股份,-18835,0,0,35.9,6.7619,100000,0,0,Quant,Pattern 95,CN
300723 CH Equity,2022-05-10,BUY,一品红,24123,0,0,28.03,6.7619,100000,0,0,Quant,Pattern 95,CN
300730 CH Equity,2022-05-10,BUY,科创信息,44751,0,0,15.11,6.7619,100000,0,0,Quant,Pattern 95,CN
300748 CH Equity,2022-05-10,SELL,金力永磁,-25025,0,0,27.02,6.7619,100000,0,0,Quant,Pattern 95,CN
300750 CH Equity,2022-05-10,SELL,宁德时代,-1834,0,0,368.5,6.7619,100000,0,0,Quant,Pattern 95,CN
300758 CH Equity,2022-05-10,SELL,七彩化学,-70436,0,0,9.6,6.7619,100000,0,0,Quant,Pattern 95,CN
300759 CH Equity,2022-05-10,SELL,康龙化成,-6205,0,0,108.96,6.7619,100000,0,0,Quant,Pattern 95,CN
300763 CH Equity,2022-05-10,SELL,锦浪科技股份有限公司,-3587,0,0,188.46,6.7619,100000,0,0,Quant,Pattern 95,CN
300767 CH Equity,2022-05-10,BUY,震安科技,13041,0,0,51.85,6.7619,100000,0,0,Quant,Pattern 95,CN
000926 CH Equity,2022-05-10,BUY,福星股份,152295,0,0,4.44,6.7619,100000,0,0,Quant,Pattern 95,CN
000957 CH Equity,2022-05-10,BUY,中通客车股份有限公司,157620,0,0,4.29,6.7619,100000,0,0,Quant,Pattern 95,CN
000963 CH Equity,2022-05-10,BUY,华东医药,20577,0,0,32.86,6.7619,100000,0,0,Quant,Pattern 95,CN
000968 CH Equity,2022-05-10,BUY,蓝焰控股,52662,0,0,12.84,6.7619,100000,0,0,Quant,Pattern 95,CN
000970 CH Equity,2022-05-10,SELL,中科三环,-62668,0,0,10.79,6.7619,100000,0,0,Quant,Pattern 95,CN
000999 CH Equity,2022-05-10,BUY,华润三九,17136,0,0,39.46,6.7619,100000,0,0,Quant,Pattern 95,CN
001914 CH Equity,2022-05-10,SELL,招商积余,-38750,0,0,17.45,6.7619,100000,0,0,Quant,Pattern 95,CN
002001 CH Equity,2022-05-10,SELL,新 和 成,-25769,0,0,26.24,6.7619,100000,0,0,Quant,Pattern 95,CN
002027 CH Equity,2022-05-10,SELL,分众传媒,-118215,0,0,5.72,6.7619,100000,0,0,Quant,Pattern 95,CN
002030 CH Equity,2022-05-10,BUY,达安基因,37860,0,0,17.86,6.7619,100000,0,0,Quant,Pattern 95,CN
600733 CH Equity,2022-05-10,BUY,北汽蓝谷,102764,0,0,6.58,6.7619,100000,0,0,Quant,Pattern 95,CN
600736 CH Equity,2022-05-10,BUY,苏州新区高新技术产业股份有限,122943,0,0,5.5,6.7619,100000,0,0,Quant,Pattern 95,CN
600782 CH Equity,2022-05-10,SELL,新钢股份,-122055,0,0,5.54,6.7619,100000,0,0,Quant,Pattern 95,CN
600793 CH Equity,2022-05-10,BUY,宜宾纸业,61922,0,0,10.92,6.7619,100000,0,0,Quant,Pattern 95,CN
