,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
603115 CH Equity,2022-05-08,BUY,海星股份,33061,0,0,20.32,6.718,100000,0,0,Quant,Pattern 95,CN
603208 CH Equity,2022-05-08,BUY,江山欧派,13774,0,0,48.77,6.718,100000,0,0,Quant,Pattern 95,CN
603298 CH Equity,2022-05-08,BUY,杭叉集团,47143,0,0,14.25,6.718,100000,0,0,Quant,Pattern 95,CN
603333 CH Equity,2022-05-08,BUY,尚纬股份,79315,0,0,8.47,6.718,100000,0,0,Quant,Pattern 95,CN
603392 CH Equity,2022-05-08,BUY,万泰生物,4121,0,0,163.0,6.718,100000,0,0,Quant,Pattern 95,CN
603536 CH Equity,2022-05-08,BUY,惠发食品,74150,0,0,9.06,6.718,100000,0,0,Quant,Pattern 95,CN
603605 CH Equity,2022-05-08,BUY,珀莱雅,3508,0,0,191.49,6.718,100000,0,0,Quant,Pattern 95,CN
603696 CH Equity,2022-05-08,BUY,安记食品,71773,0,0,9.36,6.718,100000,0,0,Quant,Pattern 95,CN
603778 CH Equity,2022-05-08,BUY,乾景园林,152681,0,0,4.4,6.718,100000,0,0,Quant,Pattern 95,CN
688050 CH Equity,2022-05-08,BUY,爱博医疗,3787,0,0,177.39,6.718,100000,0,0,Quant,Pattern 95,CN
688068 CH Equity,2022-05-08,BUY,热景生物,5022,0,0,133.76,6.718,100000,0,0,Quant,Pattern 95,CN
688091 CH Equity,2022-05-08,BUY,上海谊众,5645,0,0,119.0,6.718,100000,0,0,Quant,Pattern 95,CN
688191 CH Equity,2022-05-08,BUY,智洋创新,48123,0,0,13.96,6.718,100000,0,0,Quant,Pattern 95,CN
688363 CH Equity,2022-05-08,BUY,华熙生物,5225,0,0,128.55,6.718,100000,0,0,Quant,Pattern 95,CN
688536 CH Equity,2022-05-08,BUY,思瑞浦,1500,0,0,447.7,6.718,100000,0,0,Quant,Pattern 95,CN
688611 CH Equity,2022-05-08,BUY,杭州柯林,13390,0,0,50.17,6.718,100000,0,0,Quant,Pattern 95,CN
300661 CH Equity,2022-05-08,BUY,圣邦股份,2413,0,0,278.37,6.718,100000,0,0,Quant,Pattern 95,CN
300750 CH Equity,2022-05-08,BUY,宁德时代,1786,0,0,375.99,6.718,100000,0,0,Quant,Pattern 95,CN
300915 CH Equity,2022-05-08,BUY,海融科技,17395,0,0,38.62,6.718,100000,0,0,Quant,Pattern 95,CN
300957 CH Equity,2022-05-08,BUY,贝泰妮,3554,0,0,189.0,6.718,100000,0,0,Quant,Pattern 95,CN
600026 CH Equity,2022-05-08,BUY,中远海能,80745,0,0,8.32,6.718,100000,0,0,Quant,Pattern 95,CN
600036 CH Equity,2022-05-08,BUY,招商银行,17720,0,0,37.91,6.718,100000,0,0,Quant,Pattern 95,CN
600900 CH Equity,2022-05-08,BUY,长江电力,29568,0,0,22.72,6.718,100000,0,0,Quant,Pattern 95,CN
601318 CH Equity,2022-05-08,BUY,中国平安,15247,0,0,44.06,6.718,100000,0,0,Quant,Pattern 95,CN
601579 CH Equity,2022-05-08,BUY,会稽山,47143,0,0,14.25,6.718,100000,0,0,Quant,Pattern 95,CN
601601 CH Equity,2022-05-08,BUY,中国太保,33489,0,0,20.06,6.718,100000,0,0,Quant,Pattern 95,CN
000525 CH Equity,2022-05-08,BUY,红 太 阳,59768,0,0,11.24,6.718,100000,0,0,Quant,Pattern 95,CN
000571 CH Equity,2022-05-08,BUY,ST大洲,324541,0,0,2.07,6.718,100000,0,0,Quant,Pattern 95,CN
000665 CH Equity,2022-05-08,BUY,湖北广电,83661,0,0,8.03,6.718,100000,0,0,Quant,Pattern 95,CN
000756 CH Equity,2022-05-08,BUY,新华制药,40421,0,0,16.62,6.718,100000,0,0,Quant,Pattern 95,CN
001979 CH Equity,2022-05-08,BUY,招商蛇口,48751,0,0,13.78,6.718,100000,0,0,Quant,Pattern 95,CN
002003 CH Equity,2022-05-08,BUY,伟星股份,49689,0,0,13.52,6.718,100000,0,0,Quant,Pattern 95,CN
002216 CH Equity,2022-05-08,BUY,三全食品,31990,0,0,21.0,6.718,100000,0,0,Quant,Pattern 95,CN
002269 CH Equity,2022-05-08,BUY,美邦服饰,383885,0,0,1.75,6.718,100000,0,0,Quant,Pattern 95,CN
002294 CH Equity,2022-05-08,BUY,信立泰,29439,0,0,22.82,6.718,100000,0,0,Quant,Pattern 95,CN
002470 CH Equity,2022-05-08,BUY,ST金正,248814,0,0,2.7,6.718,100000,0,0,Quant,Pattern 95,CN
002489 CH Equity,2022-05-08,BUY,浙江永强,168370,0,0,3.99,6.718,100000,0,0,Quant,Pattern 95,CN
002702 CH Equity,2022-05-08,BUY,海欣食品,128206,0,0,5.24,6.718,100000,0,0,Quant,Pattern 95,CN
002841 CH Equity,2022-05-08,BUY,视源股份,8953,0,0,75.03,6.718,100000,0,0,Quant,Pattern 95,CN
002913 CH Equity,2022-05-08,BUY,奥士康,11298,0,0,59.46,6.718,100000,0,0,Quant,Pattern 95,CN
002993 CH Equity,2022-05-08,BUY,奥海科技,21811,0,0,30.8,6.718,100000,0,0,Quant,Pattern 95,CN
300059 CH Equity,2022-05-08,BUY,东方财富,31202,0,0,21.53,6.718,100000,0,0,Quant,Pattern 95,CN
300100 CH Equity,2022-05-08,BUY,双林股份,78116,0,0,8.6,6.718,100000,0,0,Quant,Pattern 95,CN
300268 CH Equity,2022-05-08,BUY,佳沃食品,25437,0,0,26.41,6.718,100000,0,0,Quant,Pattern 95,CN
300606 CH Equity,2022-05-08,BUY,金太阳,41571,0,0,16.16,6.718,100000,0,0,Quant,Pattern 95,CN
300639 CH Equity,2022-05-08,BUY,凯普生物,28015,0,0,23.98,6.718,100000,0,0,Quant,Pattern 95,CN
